gene	FDR	fold	add_variable	foldodwrot
SCO4456	1	0,727272727	PS04vsMGP12	1,375000001
SCO5065	1	0,727272727	PS04vsMGP12	1,375000001
SCO5304	1	0,727272727	PS04vsMGP12	1,375000001
SCO5976	1	0,727272727	PS04vsMGP12	1,375000001
SCO6933	1	0,727272727	PS04vsMGP12	1,375000001
SCO7305	1	0,727272727	PS04vsMGP12	1,375000001
SCO7351	1	0,727272727	PS04vsMGP12	1,375000001
SCO7376	1	0,727272727	PS04vsMGP12	1,375000001
SCO0300	1	0,818181818	PS04vsMGP12	1,222222222
SCO4302	1	0,818181818	PS04vsMGP12	1,222222222
SCO4484	1	0,818181818	PS04vsMGP12	1,222222222
SCO5294	1	0,818181818	PS04vsMGP12	1,222222222
SCO6421	1	0,818181818	PS04vsMGP12	1,222222222
SCO6594	1	0,818181818	PS04vsMGP12	1,222222222
SCO0612	1	0,909090909	PS04vsMGP12	1,1
SCO0825	1	0,909090909	PS04vsMGP12	1,1
SCO1170	1	0,909090909	PS04vsMGP12	1,1
SCO1910	1	0,909090909	PS04vsMGP12	1,1
SCO4102	1	0,909090909	PS04vsMGP12	1,1
SCO4873	1	0,909090909	PS04vsMGP12	1,1
SCO5644	1	0,909090909	PS04vsMGP12	1,1
SCO5911	1	0,909090909	PS04vsMGP12	1,1
SCO6422	1	0,909090909	PS04vsMGP12	1,1
SCO7583	1	0,909090909	PS04vsMGP12	1,1
SCO1264	1	1	PS04vsMGP12	1
SCO1706	1	1	PS04vsMGP12	1
SCO1837	1	1	PS04vsMGP12	1
SCO6403	1	1	PS04vsMGP12	1
SCO6789	1	1	PS04vsMGP12	1
SCO7066	1	1	PS04vsMGP12	1
SCO0583	1	1,090909091	PS04vsMGP12	0,916666667
SCO1585	1	1,090909091	PS04vsMGP12	0,916666667
SCO4074	1	1,090909091	PS04vsMGP12	0,916666667
SCO4670	1	1,090909091	PS04vsMGP12	0,916666667
SCO4960	1	1,090909091	PS04vsMGP12	0,916666667
SCO5383	1	1,090909091	PS04vsMGP12	0,916666667
SCO7377	1	1,090909091	PS04vsMGP12	0,916666667
SCO0734	1	1,181818182	PS04vsMGP12	0,846153846
SCO1127	1	1,181818182	PS04vsMGP12	0,846153846
SCO1307	1	1,181818182	PS04vsMGP12	0,846153846
SCO2477	1	1,181818182	PS04vsMGP12	0,846153846
SCO5249	1	1,181818182	PS04vsMGP12	0,846153846
SCO6593	1	1,181818182	PS04vsMGP12	0,846153846
SCO1331	1	1,272727273	PS04vsMGP12	0,785714286
SCO2742	1	1,272727273	PS04vsMGP12	0,785714286
SCO2873	1	1,272727273	PS04vsMGP12	0,785714286
SCO3199	1	1,272727273	PS04vsMGP12	0,785714286
SCO3706	1	1,272727273	PS04vsMGP12	0,785714286
SCO7530	1	1,272727273	PS04vsMGP12	0,785714286
SCO1446	1	1,363636364	PS04vsMGP12	0,733333333
SCO2276	1	1,363636364	PS04vsMGP12	0,733333333
SCO7352	1	1,363636364	PS04vsMGP12	0,733333333
SCO2117	1	1,454545455	PS04vsMGP12	0,6875
SCO3634	1	1,454545455	PS04vsMGP12	0,6875
SCO6170	1	1,454545455	PS04vsMGP12	0,6875
SCO6692	1	1,454545455	PS04vsMGP12	0,6875
SCO7080	1	1,454545455	PS04vsMGP12	0,6875
SCO2835	1	1,545454545	PS04vsMGP12	0,647058824
SCO4356	1	1,545454545	PS04vsMGP12	0,647058824
SCO4150	1	1,636363636	PS04vsMGP12	0,611111111
SCO0731	1	1,727272727	PS04vsMGP12	0,578947369
SCO0743	1	1,727272727	PS04vsMGP12	0,578947369
SCO4149	1	1,727272727	PS04vsMGP12	0,578947369
SCO6101	1	1,727272727	PS04vsMGP12	0,578947369
SCO1101	1	1,818181818	PS04vsMGP12	0,55
SCO0784	1	2	PS04vsMGP12	0,5
SCO7238	1	2	PS04vsMGP12	0,5
SCO0220	1	2,181818182	PS04vsMGP12	0,458333333
SCO0827	1	2,272727273	PS04vsMGP12	0,44
SCO7314	1	2,272727273	PS04vsMGP12	0,44
SCO3708	0,862080666	2,363636364	PS04vsMGP12	0,423076923
SCO6404	0,939575971	2,363636364	PS04vsMGP12	0,423076923
SCO6495	0,293465297	2,727272727	PS04vsMGP12	0,366666667
SCO0926	1	0,166666667	PS04vsMGP12	5,999999988
SCO1897	1	0,25	PS04vsMGP12	4
SCO4157	1	0,25	PS04vsMGP12	4
SCO6354	1	0,25	PS04vsMGP12	4
SCO0308	1	0,333333333	PS04vsMGP12	3,000000003
SCO3464	1	0,333333333	PS04vsMGP12	3,000000003
SCO7537	1	0,333333333	PS04vsMGP12	3,000000003
SCO0138	1	0,5	PS04vsMGP12	2
SCO0735	1	0,5	PS04vsMGP12	2
SCO1627	1	0,5	PS04vsMGP12	2
SCO6440	1	0,5	PS04vsMGP12	2
SCO6666	1	0,5	PS04vsMGP12	2
SCO7294	1	0,5	PS04vsMGP12	2
SCO7336	1	0,5	PS04vsMGP12	2
SCO0815	1	0,583333333	PS04vsMGP12	1,714285715
SCO5623	1	0,583333333	PS04vsMGP12	1,714285715
SCO5927	1	0,583333333	PS04vsMGP12	1,714285715
SCO6081	1	0,583333333	PS04vsMGP12	1,714285715
SCO7083	1	0,583333333	PS04vsMGP12	1,714285715
SCO7717	1	0,583333333	PS04vsMGP12	1,714285715
SCO7789	1	0,583333333	PS04vsMGP12	1,714285715
SCO0477	1	0,666666667	PS04vsMGP12	1,499999999
SCO0576	1	0,666666667	PS04vsMGP12	1,499999999
SCO0132	1	0,75	PS04vsMGP12	1,333333333
SCO0503	1	0,75	PS04vsMGP12	1,333333333
SCO0981	1	0,75	PS04vsMGP12	1,333333333
SCO1393	1	0,75	PS04vsMGP12	1,333333333
SCO7570	1	0,75	PS04vsMGP12	1,333333333
SCO0737	1	0,833333333	PS04vsMGP12	1,2
SCO1303	1	0,833333333	PS04vsMGP12	1,2
SCO1587	1	0,833333333	PS04vsMGP12	1,2
SCO2007	1	0,833333333	PS04vsMGP12	1,2
SCO2478	1	0,833333333	PS04vsMGP12	1,2
SCO3774	1	0,833333333	PS04vsMGP12	1,2
SCO4972	1	0,833333333	PS04vsMGP12	1,2
SCO5827	1	0,833333333	PS04vsMGP12	1,2
SCO6249	1	0,833333333	PS04vsMGP12	1,2
SCO7775	1	0,833333333	PS04vsMGP12	1,2
SCO0945	1	0,916666667	PS04vsMGP12	1,090909091
SCO1012	1	0,916666667	PS04vsMGP12	1,090909091
SCO1465	1	0,916666667	PS04vsMGP12	1,090909091
SCO1590	1	0,916666667	PS04vsMGP12	1,090909091
SCO2874	1	0,916666667	PS04vsMGP12	1,090909091
SCO7055	1	0,916666667	PS04vsMGP12	1,090909091
SCO7625	1	0,916666667	PS04vsMGP12	1,090909091
SCO2964	1	1	PS04vsMGP12	1
SCO6307	1	1	PS04vsMGP12	1
SCO6994	1	1	PS04vsMGP12	1
SCO7722	1	1	PS04vsMGP12	1
SCO0591	1	1,083333333	PS04vsMGP12	0,923076923
SCO0771	1	1,083333333	PS04vsMGP12	0,923076923
SCO5097	1	1,083333333	PS04vsMGP12	0,923076923
SCO5680	1	1,083333333	PS04vsMGP12	0,923076923
SCO6998	1	1,083333333	PS04vsMGP12	0,923076923
SCO0029	1	1,166666667	PS04vsMGP12	0,857142857
SCO3780	1	1,166666667	PS04vsMGP12	0,857142857
SCO4020	1	1,166666667	PS04vsMGP12	0,857142857
SCO5086	1	1,166666667	PS04vsMGP12	0,857142857
SCO6966	1	1,166666667	PS04vsMGP12	0,857142857
SCO7697	1	1,166666667	PS04vsMGP12	0,857142857
SCO7445	1	1,25	PS04vsMGP12	0,8
SCO1457	1	1,333333333	PS04vsMGP12	0,75
SCO5305	1	1,333333333	PS04vsMGP12	0,75
SCO0783	1	1,416666667	PS04vsMGP12	0,705882353
SCO3630	1	1,416666667	PS04vsMGP12	0,705882353
SCO6668	1	1,416666667	PS04vsMGP12	0,705882353
SCO0471	1	1,5	PS04vsMGP12	0,666666667
SCO4979	1	1,5	PS04vsMGP12	0,666666667
SCO3728	1	1,583333333	PS04vsMGP12	0,631578948
SCO6141	1	1,583333333	PS04vsMGP12	0,631578948
SCO0758	1	1,666666667	PS04vsMGP12	0,6
SCO1130	1	1,666666667	PS04vsMGP12	0,6
SCO4846	1	1,666666667	PS04vsMGP12	0,6
SCO5908	1	1,666666667	PS04vsMGP12	0,6
SCO0207	1	1,75	PS04vsMGP12	0,571428571
SCO6718	1	1,75	PS04vsMGP12	0,571428571
SCO7312	1	1,75	PS04vsMGP12	0,571428571
SCO4863	1	1,833333333	PS04vsMGP12	0,545454546
SCO5402	1	1,916666667	PS04vsMGP12	0,52173913
SCO2827	0,633547016	2,583333333	PS04vsMGP12	0,387096774
SCO3131	0,874113547	2,666666667	PS04vsMGP12	0,375
SCO3699	1	0,307692308	PS04vsMGP12	3,249999997
SCO1190	1	0,384615385	PS04vsMGP12	2,599999997
SCO3596	1	0,384615385	PS04vsMGP12	2,599999997
SCO6036	1	0,384615385	PS04vsMGP12	2,599999997
SCO0425	1	0,461538462	PS04vsMGP12	2,166666665
SCO1096	1	0,461538462	PS04vsMGP12	2,166666665
SCO5935	1	0,461538462	PS04vsMGP12	2,166666665
SCO7703	1	0,461538462	PS04vsMGP12	2,166666665
SCO2738	1	0,538461538	PS04vsMGP12	1,857142859
SCO3505	1	0,538461538	PS04vsMGP12	1,857142859
SCO5521	1	0,538461538	PS04vsMGP12	1,857142859
SCO7520	1	0,538461538	PS04vsMGP12	1,857142859
SCO0700	1	0,615384615	PS04vsMGP12	1,625000001
SCO1250	1	0,615384615	PS04vsMGP12	1,625000001
SCO3599	1	0,615384615	PS04vsMGP12	1,625000001
SCO5382	1	0,615384615	PS04vsMGP12	1,625000001
SCO6241	1	0,615384615	PS04vsMGP12	1,625000001
SCO7613	1	0,615384615	PS04vsMGP12	1,625000001
SCO7726	1	0,615384615	PS04vsMGP12	1,625000001
SCO7741	1	0,615384615	PS04vsMGP12	1,625000001
SCO0233	1	0,692307692	PS04vsMGP12	1,444444445
SCO1617	1	0,692307692	PS04vsMGP12	1,444444445
SCO2426	1	0,692307692	PS04vsMGP12	1,444444445
SCO4627	1	0,692307692	PS04vsMGP12	1,444444445
SCO5716	1	0,692307692	PS04vsMGP12	1,444444445
SCO6122	1	0,692307692	PS04vsMGP12	1,444444445
SCO7459	1	0,692307692	PS04vsMGP12	1,444444445
SCO7801	1	0,692307692	PS04vsMGP12	1,444444445
SCO0191	1	0,769230769	PS04vsMGP12	1,3
SCO1178	1	0,769230769	PS04vsMGP12	1,3
SCO1528	1	0,769230769	PS04vsMGP12	1,3
SCO3315	1	0,769230769	PS04vsMGP12	1,3
SCO4006	1	0,769230769	PS04vsMGP12	1,3
SCO4063	1	0,769230769	PS04vsMGP12	1,3
SCO0886	1	0,846153846	PS04vsMGP12	1,181818182
SCO4104	1	0,846153846	PS04vsMGP12	1,181818182
SCO6337	1	0,846153846	PS04vsMGP12	1,181818182
SCO6730	1	0,846153846	PS04vsMGP12	1,181818182
SCO0255	1	0,923076923	PS04vsMGP12	1,083333333
SCO1079	1	0,923076923	PS04vsMGP12	1,083333333
SCO3042	1	0,923076923	PS04vsMGP12	1,083333333
SCO5647	1	0,923076923	PS04vsMGP12	1,083333333
SCO6544	1	0,923076923	PS04vsMGP12	1,083333333
SCO7594	1	0,923076923	PS04vsMGP12	1,083333333
SCO2292	1	1	PS04vsMGP12	1
SCO2306	1	1	PS04vsMGP12	1
SCO2717	1	1	PS04vsMGP12	1
SCO4568	1	1	PS04vsMGP12	1
SCO7640	1	1	PS04vsMGP12	1
SCO7702	1	1	PS04vsMGP12	1
SCO7706	1	1	PS04vsMGP12	1
SCO0241	1	1,076923077	PS04vsMGP12	0,928571429
SCO1469	1	1,076923077	PS04vsMGP12	0,928571429
SCO4304	1	1,076923077	PS04vsMGP12	0,928571429
SCO5757	1	1,076923077	PS04vsMGP12	0,928571429
SCO5990	1	1,076923077	PS04vsMGP12	0,928571429
SCO7497	1	1,076923077	PS04vsMGP12	0,928571429
SCO7810	1	1,076923077	PS04vsMGP12	0,928571429
SCO0488	1	1,153846154	PS04vsMGP12	0,866666667
SCO2215	1	1,153846154	PS04vsMGP12	0,866666667
SCO6014	1	1,153846154	PS04vsMGP12	0,866666667
SCO7767	1	1,153846154	PS04vsMGP12	0,866666667
SCOt39	1	1,153846154	PS04vsMGP12	0,866666667
SCO2758	1	1,230769231	PS04vsMGP12	0,8125
SCO4973	1	1,230769231	PS04vsMGP12	0,8125
SCO5778	1	1,230769231	PS04vsMGP12	0,8125
SCO7226	1	1,230769231	PS04vsMGP12	0,8125
SCO7779	1	1,230769231	PS04vsMGP12	0,8125
SCO1614	1	1,307692308	PS04vsMGP12	0,764705882
SCO2399	1	1,307692308	PS04vsMGP12	0,764705882
SCO2726	1	1,307692308	PS04vsMGP12	0,764705882
SCO4742	1	1,307692308	PS04vsMGP12	0,764705882
SCO5247	1	1,307692308	PS04vsMGP12	0,764705882
SCO5831	1	1,307692308	PS04vsMGP12	0,764705882
SCO7774	1	1,307692308	PS04vsMGP12	0,764705882
SCO1405	1	1,384615385	PS04vsMGP12	0,722222222
SCO0955	1	1,461538462	PS04vsMGP12	0,684210526
SCO6021	1	1,461538462	PS04vsMGP12	0,684210526
SCO4050	1	1,538461538	PS04vsMGP12	0,65
SCO1140	1	1,615384615	PS04vsMGP12	0,619047619
SCO3776	1	1,615384615	PS04vsMGP12	0,619047619
SCO6240	1	1,615384615	PS04vsMGP12	0,619047619
SCO6926	1	1,692307692	PS04vsMGP12	0,590909091
SCO2485	0,020356229	3,230769231	PS04vsMGP12	0,30952381
SCO7755	0,250799148	3,230769231	PS04vsMGP12	0,30952381
SCO6301	1	0,071428571	PS04vsMGP12	14,00000008
SCO3438	1	0,214285714	PS04vsMGP12	4,666666673
SCO3088	1	0,285714286	PS04vsMGP12	3,499999997
SCO7574	1	0,357142857	PS04vsMGP12	2,800000001
SCO0970	1	0,428571429	PS04vsMGP12	2,333333331
SCO1416	1	0,428571429	PS04vsMGP12	2,333333331
SCO5987	1	0,428571429	PS04vsMGP12	2,333333331
SCO3451	1	0,5	PS04vsMGP12	2
SCO7543	1	0,5	PS04vsMGP12	2
SCO4031	1	0,571428571	PS04vsMGP12	1,750000001
SCO6927	1	0,571428571	PS04vsMGP12	1,750000001
SCO7723	1	0,571428571	PS04vsMGP12	1,750000001
SCO0380	1	0,642857143	PS04vsMGP12	1,555555555
SCO3700	1	0,642857143	PS04vsMGP12	1,555555555
SCO6253	1	0,642857143	PS04vsMGP12	1,555555555
SCO7186	1	0,642857143	PS04vsMGP12	1,555555555
SCO7250	1	0,642857143	PS04vsMGP12	1,555555555
SCO7329	1	0,642857143	PS04vsMGP12	1,555555555
SCO7610	1	0,642857143	PS04vsMGP12	1,555555555
SCO7816	1	0,642857143	PS04vsMGP12	1,555555555
SCOt26	1	0,642857143	PS04vsMGP12	1,555555555
SCO0141	1	0,714285714	PS04vsMGP12	1,400000001
SCO0559	1	0,714285714	PS04vsMGP12	1,400000001
SCO1172	1	0,714285714	PS04vsMGP12	1,400000001
SCO3555	1	0,714285714	PS04vsMGP12	1,400000001
SCO5091	1	0,714285714	PS04vsMGP12	1,400000001
SCO7219	1	0,714285714	PS04vsMGP12	1,400000001
SCO1070	1	0,785714286	PS04vsMGP12	1,272727272
SCO2288	1	0,785714286	PS04vsMGP12	1,272727272
SCO6782	1	0,785714286	PS04vsMGP12	1,272727272
SCO1192	1	0,857142857	PS04vsMGP12	1,166666667
SCO2494	1	0,857142857	PS04vsMGP12	1,166666667
SCO2871	1	0,857142857	PS04vsMGP12	1,166666667
SCO3223	1	0,857142857	PS04vsMGP12	1,166666667
SCO4757	1	0,857142857	PS04vsMGP12	1,166666667
SCO4951	1	0,857142857	PS04vsMGP12	1,166666667
SCO5209	1	0,857142857	PS04vsMGP12	1,166666667
SCO5834	1	0,857142857	PS04vsMGP12	1,166666667
SCO6308	1	0,857142857	PS04vsMGP12	1,166666667
SCO6723	1	0,857142857	PS04vsMGP12	1,166666667
SCO7512	1	0,857142857	PS04vsMGP12	1,166666667
SCO7623	1	0,857142857	PS04vsMGP12	1,166666667
SCO0088	1	0,928571429	PS04vsMGP12	1,076923076
SCO0667	1	0,928571429	PS04vsMGP12	1,076923076
SCO1690	1	0,928571429	PS04vsMGP12	1,076923076
SCO3750	1	0,928571429	PS04vsMGP12	1,076923076
SCO4242	1	0,928571429	PS04vsMGP12	1,076923076
SCO4372	1	0,928571429	PS04vsMGP12	1,076923076
SCO4458	1	0,928571429	PS04vsMGP12	1,076923076
SCO5620	1	0,928571429	PS04vsMGP12	1,076923076
SCO2332	1	1	PS04vsMGP12	1
SCO3701	1	1	PS04vsMGP12	1
SCO4024	1	1	PS04vsMGP12	1
SCO5005	1	1	PS04vsMGP12	1
SCO1054	1	1,071428571	PS04vsMGP12	0,933333334
SCO2518	1	1,071428571	PS04vsMGP12	0,933333334
SCO4083	1	1,071428571	PS04vsMGP12	0,933333334
SCO4148	1	1,071428571	PS04vsMGP12	0,933333334
SCO4275	1	1,071428571	PS04vsMGP12	0,933333334
SCO4900	1	1,071428571	PS04vsMGP12	0,933333334
SCO5852	1	1,071428571	PS04vsMGP12	0,933333334
SCO6162	1	1,071428571	PS04vsMGP12	0,933333334
SCO7423	1	1,071428571	PS04vsMGP12	0,933333334
SCO0142	1	1,142857143	PS04vsMGP12	0,875
SCO0409	1	1,142857143	PS04vsMGP12	0,875
SCO0934	1	1,142857143	PS04vsMGP12	0,875
SCO1352	1	1,142857143	PS04vsMGP12	0,875
SCO3602	1	1,142857143	PS04vsMGP12	0,875
SCO5760	1	1,142857143	PS04vsMGP12	0,875
SCO7254	1	1,142857143	PS04vsMGP12	0,875
SCO0218	1	1,214285714	PS04vsMGP12	0,823529412
SCO5684	1	1,214285714	PS04vsMGP12	0,823529412
SCO7309	1	1,214285714	PS04vsMGP12	0,823529412
SCO0687	1	1,285714286	PS04vsMGP12	0,777777778
SCO1230	1	1,285714286	PS04vsMGP12	0,777777778
SCO1610	1	1,285714286	PS04vsMGP12	0,777777778
SCO7748	1	1,285714286	PS04vsMGP12	0,777777778
SCO6296	1	1,357142857	PS04vsMGP12	0,736842105
SCO1289	1	1,428571429	PS04vsMGP12	0,7
SCO0823	1	1,5	PS04vsMGP12	0,666666667
SCO3173	1	1,5	PS04vsMGP12	0,666666667
SCO3372	1	1,571428571	PS04vsMGP12	0,636363637
SCO4773	1	1,571428571	PS04vsMGP12	0,636363637
SCOt10	1	1,571428571	PS04vsMGP12	0,636363637
SCO0286	1	1,642857143	PS04vsMGP12	0,608695652
SCO3788	1	1,785714286	PS04vsMGP12	0,56
SCO0799	1	1,857142857	PS04vsMGP12	0,538461539
SCO1251	1	1,857142857	PS04vsMGP12	0,538461539
SCO3999	1	2	PS04vsMGP12	0,5
SCO4060	1	2,071428571	PS04vsMGP12	0,482758621
SCO0776	0,843285056	2,142857143	PS04vsMGP12	0,466666667
SCO6283	0,535820639	2,357142857	PS04vsMGP12	0,424242424
SCO3525	1	0,333333333	PS04vsMGP12	3,000000003
SCO7433	1	0,333333333	PS04vsMGP12	3,000000003
SCO5043	1	0,4	PS04vsMGP12	2,5
SCO6977	1	0,4	PS04vsMGP12	2,5
SCO7660	1	0,4	PS04vsMGP12	2,5
SCO7792	1	0,4	PS04vsMGP12	2,5
SCO3054	1	0,466666667	PS04vsMGP12	2,142857141
SCO7008	1	0,466666667	PS04vsMGP12	2,142857141
SCO1134	1	0,533333333	PS04vsMGP12	1,875000001
SCO2055	1	0,533333333	PS04vsMGP12	1,875000001
SCO6389	1	0,533333333	PS04vsMGP12	1,875000001
SCO6913	1	0,533333333	PS04vsMGP12	1,875000001
SCO7628	1	0,533333333	PS04vsMGP12	1,875000001
SCO0258	1	0,6	PS04vsMGP12	1,666666667
SCO1050	1	0,6	PS04vsMGP12	1,666666667
SCO5006	1	0,6	PS04vsMGP12	1,666666667
SCO6393	1	0,6	PS04vsMGP12	1,666666667
SCO6783	1	0,6	PS04vsMGP12	1,666666667
SCO7367	1	0,6	PS04vsMGP12	1,666666667
SCO7558	1	0,6	PS04vsMGP12	1,666666667
SCO7693	1	0,6	PS04vsMGP12	1,666666667
SCO0211	1	0,666666667	PS04vsMGP12	1,499999999
SCO0798	1	0,666666667	PS04vsMGP12	1,499999999
SCO2227	1	0,666666667	PS04vsMGP12	1,499999999
SCO3267	1	0,666666667	PS04vsMGP12	1,499999999
SCO5977	1	0,666666667	PS04vsMGP12	1,499999999
SCO0075	1	0,733333333	PS04vsMGP12	1,363636364
SCO2002	1	0,733333333	PS04vsMGP12	1,363636364
SCO4772	1	0,733333333	PS04vsMGP12	1,363636364
SCO6419	1	0,733333333	PS04vsMGP12	1,363636364
SCO6616	1	0,733333333	PS04vsMGP12	1,363636364
SCO7043	1	0,733333333	PS04vsMGP12	1,363636364
SCO7777	1	0,733333333	PS04vsMGP12	1,363636364
SCO1141	1	0,8	PS04vsMGP12	1,25
SCO1263	1	0,8	PS04vsMGP12	1,25
SCO1615	1	0,8	PS04vsMGP12	1,25
SCO5603	1	0,8	PS04vsMGP12	1,25
SCO6033	1	0,8	PS04vsMGP12	1,25
SCO7304	1	0,8	PS04vsMGP12	1,25
SCO3306	1	0,866666667	PS04vsMGP12	1,153846153
SCO3418	1	0,866666667	PS04vsMGP12	1,153846153
SCO3620	1	0,866666667	PS04vsMGP12	1,153846153
SCO5962	1	0,866666667	PS04vsMGP12	1,153846153
SCO6232	1	0,866666667	PS04vsMGP12	1,153846153
SCO7261	1	0,866666667	PS04vsMGP12	1,153846153
SCO0110	1	0,933333333	PS04vsMGP12	1,071428572
SCO0835	1	0,933333333	PS04vsMGP12	1,071428572
SCO1570	1	0,933333333	PS04vsMGP12	1,071428572
SCO3939	1	0,933333333	PS04vsMGP12	1,071428572
SCO4341	1	0,933333333	PS04vsMGP12	1,071428572
SCO7231	1	0,933333333	PS04vsMGP12	1,071428572
SCO3804	1	1	PS04vsMGP12	1
SCO6284	1	1	PS04vsMGP12	1
SCO6476	1	1	PS04vsMGP12	1
SCO7159	1	1	PS04vsMGP12	1
SCO0689	1	1,066666667	PS04vsMGP12	0,9375
SCO1394	1	1,066666667	PS04vsMGP12	0,9375
SCO2937	1	1,066666667	PS04vsMGP12	0,9375
SCO3679	1	1,066666667	PS04vsMGP12	0,9375
SCO6609	1	1,066666667	PS04vsMGP12	0,9375
SCO0907	1	1,133333333	PS04vsMGP12	0,882352941
SCO1703	1	1,133333333	PS04vsMGP12	0,882352941
SCO2119	1	1,133333333	PS04vsMGP12	0,882352941
SCO2476	1	1,133333333	PS04vsMGP12	0,882352941
SCO4216	1	1,133333333	PS04vsMGP12	0,882352941
SCO7711	1	1,133333333	PS04vsMGP12	0,882352941
SCO1167	1	1,2	PS04vsMGP12	0,833333333
SCO1778	1	1,2	PS04vsMGP12	0,833333333
SCO2209	1	1,2	PS04vsMGP12	0,833333333
SCO0677	1	1,266666667	PS04vsMGP12	0,789473684
SCO3655	1	1,266666667	PS04vsMGP12	0,789473684
SCO7239	1	1,266666667	PS04vsMGP12	0,789473684
SCO6608	1	1,333333333	PS04vsMGP12	0,75
SCO4608	1	1,4	PS04vsMGP12	0,714285714
SCOt14	1	1,4	PS04vsMGP12	0,714285714
SCO0980	1	1,466666667	PS04vsMGP12	0,681818182
SCO6090	1	1,466666667	PS04vsMGP12	0,681818182
SCO3369	1	1,533333333	PS04vsMGP12	0,652173913
SCO5828	1	1,533333333	PS04vsMGP12	0,652173913
SCO6510	1	1,6	PS04vsMGP12	0,625
SCO2767	1	1,8	PS04vsMGP12	0,555555556
SCO7279	1	1,866666667	PS04vsMGP12	0,535714286
SCO4361	1	1,933333333	PS04vsMGP12	0,517241379
SCO2271	0,270577263	2,4	PS04vsMGP12	0,416666667
SCO0018	0,187810219	2,733333333	PS04vsMGP12	0,365853659
SCO7829	0,187810219	2,733333333	PS04vsMGP12	0,365853659
SCO0779	0,396671033	2,866666667	PS04vsMGP12	0,348837209
SCO5907	1	0,0625	PS04vsMGP12	16
SCO5326	1	0,0625	PS04vsMGP12	16
SCO2765	1	0,3125	PS04vsMGP12	3,2
SCO5412	1	0,3125	PS04vsMGP12	3,2
SCO3460	1	0,375	PS04vsMGP12	2,666666667
SCO3591	1	0,375	PS04vsMGP12	2,666666667
SCO6690	1	0,375	PS04vsMGP12	2,666666667
SCO7764	1	0,375	PS04vsMGP12	2,666666667
SCO6223	1	0,4375	PS04vsMGP12	2,285714286
SCO1243	1	0,5	PS04vsMGP12	2
SCO3458	1	0,5	PS04vsMGP12	2
SCO6096	1	0,5	PS04vsMGP12	2
SCO5941	1	0,5625	PS04vsMGP12	1,777777778
SCO0344	1	0,625	PS04vsMGP12	1,6
SCO4566	1	0,625	PS04vsMGP12	1,6
SCO4870	1	0,625	PS04vsMGP12	1,6
SCO6309	1	0,625	PS04vsMGP12	1,6
SCO6332	1	0,625	PS04vsMGP12	1,6
SCO0680	1	0,6875	PS04vsMGP12	1,454545455
SCO0968	1	0,6875	PS04vsMGP12	1,454545455
SCO3994	1	0,6875	PS04vsMGP12	1,454545455
SCO6611	1	0,6875	PS04vsMGP12	1,454545455
SCO1992	1	0,75	PS04vsMGP12	1,333333333
SCO5416	1	0,75	PS04vsMGP12	1,333333333
SCO7229	1	0,75	PS04vsMGP12	1,333333333
SCOt28	1	0,75	PS04vsMGP12	1,333333333
SCO0768	1	0,8125	PS04vsMGP12	1,230769231
SCO6115	1	0,8125	PS04vsMGP12	1,230769231
SCO7791a	1	0,8125	PS04vsMGP12	1,230769231
SCO0530	1	0,875	PS04vsMGP12	1,142857143
SCO1746	1	0,875	PS04vsMGP12	1,142857143
SCO3293	1	0,875	PS04vsMGP12	1,142857143
SCO6044	1	0,875	PS04vsMGP12	1,142857143
SCO6702	1	0,875	PS04vsMGP12	1,142857143
SCO0850	1	0,9375	PS04vsMGP12	1,066666667
SCO2978	1	0,9375	PS04vsMGP12	1,066666667
SCO6484	1	0,9375	PS04vsMGP12	1,066666667
SCO6802	1	0,9375	PS04vsMGP12	1,066666667
SCO0116	1	1	PS04vsMGP12	1
SCO1577	1	1	PS04vsMGP12	1
SCO1685	1	1	PS04vsMGP12	1
SCO4145	1	1	PS04vsMGP12	1
SCO4872	1	1	PS04vsMGP12	1
SCO5404	1	1	PS04vsMGP12	1
SCO5936	1	1	PS04vsMGP12	1
SCO6543	1	1	PS04vsMGP12	1
SCO7798	1	1	PS04vsMGP12	1
SCO0285	1	1,0625	PS04vsMGP12	0,941176471
SCO1128	1	1,0625	PS04vsMGP12	0,941176471
SCO6004	1	1,0625	PS04vsMGP12	0,941176471
SCO7438	1	1,0625	PS04vsMGP12	0,941176471
SCO0443	1	1,125	PS04vsMGP12	0,888888889
SCO0604	1	1,125	PS04vsMGP12	0,888888889
SCO2772	1	1,125	PS04vsMGP12	0,888888889
SCO6667	1	1,125	PS04vsMGP12	0,888888889
SCO6907	1	1,125	PS04vsMGP12	0,888888889
SCO2880	1	1,1875	PS04vsMGP12	0,842105263
SCO4607	1	1,25	PS04vsMGP12	0,8
SCO1111	1	1,3125	PS04vsMGP12	0,761904762
SCO1211	1	1,375	PS04vsMGP12	0,727272727
SCO4285	1	1,375	PS04vsMGP12	0,727272727
SCO7452	1	1,375	PS04vsMGP12	0,727272727
SCO3958	1	1,4375	PS04vsMGP12	0,695652174
SCO6703	1	1,4375	PS04vsMGP12	0,695652174
SCO5763	1	1,5	PS04vsMGP12	0,666666667
SCO3832	1	1,5625	PS04vsMGP12	0,64
SCO4171	1	1,5625	PS04vsMGP12	0,64
SCO7053	1	1,5625	PS04vsMGP12	0,64
SCO6508	1	1,625	PS04vsMGP12	0,615384615
