"product" "gene" "start" "end" "strand"
"1212" "acyl-CoA dehydrogenase family protein" "vnz_06325" 1457761 1458975 "+"
"1213" "TetR family transcriptional regulator" "vnz_06330" 1459007 1459600 "-"
"1214" "SDR family oxidoreductase" "vnz_06335" 1459731 1460507 "-"
"1215" "DUF1343 domain-containing protein" "vnz_06340" 1460711 1461958 "+"
"1216" "erythromycin esterase family protein" "vnz_06345" 1462057 1463409 "+"
"1217" "hypothetical protein" "vnz_06355" 1465146 1465760 "+"
"1218" "3-keto-5-aminohexanoate cleavage protein" "vnz_06360" 1465757 1466548 "+"
"1219" "redox-sensitive transcriptional activator SoxR" "vnz_06365" 1466545 1467021 "-"
"1220" "MaoC family dehydratase" "vnz_06370" 1467146 1467607 "+"
"1221" "TetR family transcriptional regulator" "vnz_06375" 1467598 1468224 "-"
"1222" "hypothetical protein" "vnz_06380" 1468335 1468622 "-"
"1223" "acyl-CoA dehydrogenase family protein" "vnz_06385" 1468683 1469840 "-"
"1224" "winged helix-turn-helix transcriptionalregulator" "vnz_06395" 1470678 1471373 "+"
"1225" "DMT family transporter" "vnz_06400" 1471421 1472335 "+"
"1226" "TetR/AcrR family transcriptional regulator" "vnz_06405" 1472550 1473227 "+"
"1227" "TetR/AcrR family transcriptional regulator" "vnz_06410" 1473354 1474016 "-"
"1228" "DMT family transporter" "vnz_06415" 1474139 1475077 "+"
"1229" "MBL fold metallo-hydrolase" "vnz_06420" 1475152 1475952 "+"
"1230" "DsbA family protein" "vnz_06425" 1475988 1476689 "+"
"1231" "aminotransferase class I/II-fold pyridoxalphosphate-dependent enzyme" "vnz_06430" 1476909 1478087 "+"
"1232" "hypothetical protein" "vnz_06435" 1478077 1478619 "+"
"1233" "dihydrodipicolinate synthase family protein" "vnz_06440" 1478656 1479462 "+"
"1234" "iron-containing redox enzyme family protein" "vnz_06445" 1479459 1480340 "+"
"1235" "Rieske (2Fe-2S) protein" "vnz_06450" 1480337 1480702 "+"
"1236" "cytosine permease" "vnz_06455" 1480699 1482150 "+"
"1237" "oxidoreductase" "vnz_06460" 1482154 1483119 "+"
"1238" "Zn-dependent alcohol dehydrogenase" "vnz_06465" 1483222 1484304 "-"
"1239" "aldehyde dehydrogenase family protein" "vnz_06470" 1484351 1485742 "-"
"1240" "class F sortase" "vnz_06475" 1486068 1486838 "-"
"1241" "hypothetical protein" "vnz_06480" 1486825 1487460 "-"
"1242" "citrate:proton symporter" "vnz_06485" 1487580 1489046 "-"
"1243" "molybdopterin-dependent oxidoreductase" "vnz_06490" 1489166 1491367 "-"
"1244" "TetR family transcriptional regulator" "vnz_06495" 1491461 1492165 "-"
"1245" "hypothetical protein" "vnz_06500" 1492185 1493489 "-"
"1246" "hypothetical protein" "vnz_06505" 1493486 1494280 "-"
"1247" "right-handed parallel beta-helixrepeat-containing protein" "vnz_06510" 1494445 1496601 "-"
"1248" "homogentisate 1,2-dioxygenase" "vnz_06515" 1496797 1498119 "+"
"1249" "GntR family transcriptional regulator" "vnz_06520" 1498160 1498909 "+"
"1250" "hypothetical protein" "vnz_06525" 1498957 1500210 "+"
"1251" "TetR/AcrR family transcriptional regulator" "vnz_06530" 1500197 1500934 "-"
"1252" "daunorubicin resistance protein DrrA family ABCtransporter ATP-binding protein" "vnz_06535" 1500998 1501936 "+"
"1253" "ABC transporter permease" "vnz_06540" 1501933 1502712 "+"
"1254" "CoA transferase" "vnz_06545" 1502777 1503973 "+"
"1255" "hypothetical protein" "vnz_06550" 1504199 1504471 "-"
"1256" "protein kinase" "vnz_06555" 1504807 1505871 "+"
"1257" "SGNH/GDSL hydrolase family protein" "vnz_06560" 1505855 1506661 "-"
"1258" "glycosyltransferase family 2 protein" "vnz_06565" 1507299 1508129 "+"
"1259" "polysaccharide deacetylase family protein" "vnz_06575" 1509265 1510029 "+"
"1260" "AAA family ATPase" "vnz_06580" 1510114 1511232 "+"
"1261" "GntR family transcriptional regulator" "vnz_06585" 1511249 1511623 "-"
"1262" "GNAT family N-acetyltransferase" "vnz_06590" 1511698 1512621 "+"
"1263" "DUF402 domain-containing protein" "vnz_06595" 1512602 1513081 "+"
"1264" "hypothetical protein" "vnz_06600" 1513086 1513595 "-"
"1265" "tripartite tricarboxylate transporter permease" "vnz_06605" 1513715 1515211 "-"
"1266" "tripartite tricarboxylate transporter TctBfamily protein" "vnz_06610" 1515215 1515721 "-"
"1267" "tripartite tricarboxylate transporter substratebinding protein" "vnz_06615" 1515718 1516701 "-"
"1268" "response regulator" "vnz_06620" 1516836 1517504 "+"
"1269" "lytic polysaccharide monooxygenase" "vnz_06625" 1517665 1518681 "+"
"1270" "alpha/beta fold hydrolase" "vnz_06630" 1518678 1519547 "-"
"1271" "hypothetical protein" "vnz_06635" 1519749 1520708 "-"
"1272" "DNA polymerase III subunit alpha" "vnz_06640" 1520705 1524217 "-"
"1273" "membrane protein" "vnz_06645" 1524387 1525436 "+"
"1274" "GNAT family N-acetyltransferase" "vnz_06650" 1525523 1526503 "+"
"1275" "bifunctional acetaldehyde-CoA/alcoholdehydrogenase" "vnz_06655" 1526649 1529243 "-"
"1276" "S1 family peptidase" "vnz_06660" 1529400 1530308 "-"
"1277" "DUF1684 domain-containing protein" "vnz_06665" 1530494 1531336 "-"
"1278" "NtaA/DmoA family FMN-dependent monooxygenase" "vnz_06670" 1531342 1532649 "-"
"1279" "LLM class flavin-dependent oxidoreductase" "vnz_06675" 1532646 1533695 "-"
"1280" "ABC transporter substrate-binding protein" "vnz_06680" 1533736 1534716 "-"
"1281" "amino acid ABC transporter ATP-binding protein" "vnz_06685" 1534763 1535560 "-"
"1282" "amino acid ABC transporter permease" "vnz_06690" 1535557 1536441 "-"
"1283" "FAD/NAD(P)-binding protein" "vnz_06695" 1536542 1538347 "-"
"1284" "amino acid ABC transporter permease" "vnz_06700" 1538344 1539192 "-"
"1285" "GNAT family N-acetyltransferase" "vnz_06705" 1539639 1540118 "+"
"1286" "ABC transporter substrate-binding protein" "vnz_06710" 1540115 1541080 "+"
"1287" "hypothetical protein" "vnz_06715" 1541126 1542379 "-"
"1288" "cell division protein SepF" "vnz_06720" 1542703 1543137 "+"
"1289" "MFS transporter" "vnz_06725" 1543180 1544952 "-"
"1290" "proteinase inhibitor I78" "vnz_06735" 1546405 1546620 "-"
"1291" "cytochrome c oxidase subunit I" "vnz_06740" 1546931 1548643 "+"
"1292" "YafY family transcriptional regulator" "vnz_06745" 1548582 1549568 "-"
"1293" "glycosyltransferase family 4 protein" "vnz_06750" 1549715 1550989 "-"
"1294" "ABC transporter substrate-binding protein" "vnz_06755" 1551080 1552360 "-"
"1295" "hypothetical protein" "vnz_06760" 1552386 1552913 "-"
"1296" "hypothetical protein" "vnz_06765" 1553028 1553432 "+"
"1297" "ATP-binding cassette domain-containing protein" "vnz_06770" 1553420 1556044 "+"
"1298" "ATP-binding cassette domain-containing protein" "vnz_06775" 1556041 1556685 "+"
"1299" "transglycosylase family protein" "vnz_06780" 1556701 1557246 "-"
"1300" "hypothetical protein" "vnz_06785" 1557642 1558424 "+"
"1302" "ribosome biogenesis GTPase Der" "vnz_06795" 1559045 1560493 "-"
"1303" "1-acyl-sn-glycerol-3-phosphate acyltransferase" "vnz_06800" 1560564 1561208 "-"
"1304" "(d)CMP kinase" "vnz_06805" 1561205 1561906 "-"
"1305" "prephenate dehydrogenase" "vnz_06810" 1562071 1563159 "-"
"1306" "chorismate mutase" "vnz_06815" 1563156 1563518 "-"
"1307" "DUF937 domain-containing protein" "vnz_06820" 1563639 1564073 "-"
"1308" "DUF952 domain-containing protein" "vnz_06825" 1564185 1564520 "+"
"1309" "Rieske 2Fe-2S domain-containing protein" "vnz_06830" 1564566 1565054 "+"
"1310" "nucleotidyltransferase domain-containingprotein" "vnz_06835" 1565076 1565768 "+"
"1311" "nucleotidyltransferase domain-containingprotein" "vnz_06840" 1565860 1566633 "-"
"1312" "ADP-ribosylglycohydrolase family protein" "vnz_06845" 1566637 1567659 "-"
"1313" "NUDIX hydrolase" "vnz_06850" 1567656 1568423 "-"
"1314" "AAA family ATPase" "vnz_06855" 1568420 1569499 "-"
"1315" "nicotinamide mononucleotide transporter" "vnz_06860" 1569496 1570149 "-"
"1316" "rRNA pseudouridine synthase" "vnz_06865" 1570295 1571653 "-"
"1317" "SMC-Scp complex subunit ScpB" "vnz_06870" 1571653 1572267 "-"
"1318" "segregation/condensation protein A" "vnz_06875" 1572264 1573283 "-"
"1319" "hypothetical protein" "vnz_06880" 1573329 1573844 "-"
"1320" "ParA family protein" "vnz_06885" 1573829 1574962 "-"
"1321" "alanine dehydrogenase" "vnz_06890" 1575304 1576419 "-"
"1322" "tetratricopeptide repeat protein" "vnz_06895" 1576567 1578552 "-"
"1323" "NUDIX hydrolase" "vnz_06900" 1578706 1579332 "-"
"1324" "CTP synthase" "vnz_06905" 1579420 1581069 "-"
"1325" "glycoside hydrolase family 15 protein" "vnz_06910" 1581686 1583488 "+"
"1326" "FAD-binding oxidoreductase" "vnz_06915" 1583588 1584973 "+"
"1327" "FAD-dependent oxidoreductase" "vnz_06920" 1584999 1586642 "-"
"1328" "APC family permease" "vnz_06925" 1586688 1588202 "-"
"1329" "PucR family transcriptional regulator" "vnz_06930" 1588364 1589992 "+"
"1330" "glycosyltransferase family 4 protein" "vnz_06935" 1590036 1591118 "-"
"1331" "hypothetical protein" "vnz_06940" 1591228 1592037 "-"
"1332" "DNA repair protein RecN" "vnz_06945" 1592034 1593776 "-"
"1333" "NAD kinase" "vnz_06950" 1593922 1594845 "-"
"1334" "TlyA family RNA methyltransferase" "vnz_06955" 1594842 1595657 "-"
"1335" "hypothetical protein" "vnz_06960" 1595665 1595949 "-"
"1336" "SCP2 sterol-binding domain-containing protein" "vnz_06965" 1595993 1596340 "+"
"1337" "ABC transporter ATP-binding protein" "vnz_06970" 1596346 1597188 "-"
"1338" "HAD hydrolase-like protein" "vnz_06975" 1597241 1598332 "-"
"1339" "DUF1015 domain-containing protein" "vnz_06980" 1598412 1599704 "+"
"1340" "DNA-3-methyladenine glycosylase" "vnz_07010" 1607647 1608309 "-"
"1341" "sporulation protein" "vnz_07015" 1608397 1609179 "+"
"1342" "YbhB/YbcL family Raf kinase inhibitor-likeprotein" "vnz_07020" 1609232 1609771 "+"
"1343" "HNH endonuclease" "vnz_07025" 1609939 1610445 "+"
"1344" "sulfite exporter TauE/SafE family protein" "vnz_07030" 1610509 1611282 "-"
"1345" "SPFH/Band 7/PHB domain protein" "vnz_07035" 1611375 1612313 "-"
"1346" "NfeD family protein" "vnz_07040" 1612407 1612835 "-"
"1347" "ABC transporter ATP-binding protein" "vnz_07045" 1612910 1613707 "-"
"1348" "hypothetical protein" "vnz_07050" 1613864 1614655 "+"
"1349" "chaplin" "vnz_07055" 1614798 1615043 "-"
"1350" "response regulator transcription factor" "vnz_07060" 1615207 1615851 "-"
"1351" "GAF domain-containing sensor histidine kinase" "vnz_07065" 1615844 1616989 "-"
"1352" "transglycosylase SLT domain-containing protein" "vnz_07070" 1617419 1618195 "+"
"1353" "FHA domain-containing protein" "vnz_07075" 1618282 1620900 "-"
"1354" "phosphoserine phosphatase SerB" "vnz_07080" 1621122 1622339 "+"
"1355" "histidine phosphatase family protein" "vnz_07085" 1622443 1622961 "-"
"1356" "hypothetical protein" "vnz_07090" 1622997 1623200 "-"
"1357" "MFS transporter" "vnz_07095" 1623492 1624892 "-"
"1358" "FadR family transcriptional regulator" "vnz_07100" 1624956 1625669 "+"
"1359" "hypothetical protein" "vnz_07105" 1625614 1626024 "-"
"1360" "enoyl-ACP reductase FabI" "vnz_07110" 1626185 1626961 "-"
"1361" "3-oxoacyl-[acyl-carrier-protein] reductase" "vnz_07115" 1626965 1627684 "-"
"1362" "hypothetical protein" "vnz_07120" 1627875 1629605 "-"
"1363" "hypothetical protein" "vnz_07125" 1629607 1635978 "-"
"1364" "TldD/PmbA family protein" "vnz_07130" 1636187 1637710 "+"
"1365" "peptidase" "vnz_07135" 1637793 1639184 "+"
"1366" "tyrosine--tRNA ligase" "vnz_07140" 1639239 1640507 "+"
"1367" "GlsB/YeaQ/YmgE family stress response membraneprotein" "vnz_07145" 1640583 1640858 "-"
"1368" "DUF3099 domain-containing protein" "vnz_07150" 1641029 1641373 "+"
"1369" "hypothetical protein" "vnz_07155" 1641556 1641771 "+"
"1370" "GTP 3',8-cyclase MoaA" "vnz_07160" 1641819 1642808 "-"
"1371" "cation acetate symporter" "vnz_07165" 1642975 1644615 "-"
"1372" "DUF485 domain-containing protein" "vnz_07170" 1644612 1644986 "-"
"1373" "S8 family serine peptidase" "vnz_07175" 1645260 1646798 "+"
"1374" "CoA transferase" "vnz_07180" 1646907 1648211 "+"
"1375" "zinc-dependent alcohol dehydrogenase familyprotein" "vnz_07185" 1648221 1649264 "-"
"1376" "lysoplasmalogenase" "vnz_07190" 1649283 1650002 "-"
"1377" "sterol desaturase family protein" "vnz_07195" 1649924 1650778 "-"
"1378" "VIT family protein" "vnz_07200" 1650915 1651628 "-"
"1379" "amidohydrolase" "vnz_07205" 1651671 1652894 "-"
"1380" "amidohydrolase" "vnz_07210" 1652894 1654177 "-"
"1381" "SDR family NAD(P)-dependent oxidoreductase" "vnz_07215" 1654188 1655072 "-"
"1382" "acetoacetate decarboxylase family protein" "vnz_07220" 1655072 1655869 "-"
"1383" "TetR family transcriptional regulator" "vnz_07225" 1655966 1656691 "+"
"1384" "DEDDh family exonuclease" "vnz_07230" 1656688 1657680 "+"
"1385" "hypothetical protein" "vnz_07235" 1657745 1657978 "+"
"1386" "SURF1 family protein" "vnz_07240" 1658057 1658875 "+"
"1387" "glycoside hydrolase family 15 protein" "vnz_07245" 1658910 1660700 "+"
"1388" "SDR family oxidoreductase" "vnz_07250" 1660705 1661460 "+"
"1389" "alkaline shock response membrane anchor proteinAmaP" "vnz_07255" 1661464 1662051 "-"
"1390" "hypothetical protein" "vnz_07260" 1662056 1662676 "-"
"1391" "Asp23/Gls24 family envelope stress responseprotein" "vnz_07265" 1662673 1663038 "-"
"1392" "hypothetical protein" "vnz_07270" 1663045 1663236 "-"
"1393" "Asp23/Gls24 family envelope stress responseprotein" "vnz_07275" 1663295 1663768 "-"
"1394" "hypothetical protein" "vnz_07280" 1663862 1664650 "+"
"1395" "enoyl-CoA hydratase/isomerase family protein" "vnz_07285" 1664901 1665701 "-"
"1396" "transcriptional regulator" "vnz_07290" 1665833 1666054 "-"
"1397" "ABC-F family ATP-binding cassettedomain-containing protein" "vnz_07295" 1666396 1667994 "-"
"1398" "neutral zinc metallopeptidase" "vnz_07300" 1668263 1669153 "+"
"1399" "VOC family protein" "vnz_07305" 1669221 1669622 "+"
"1400" "hypothetical protein" "vnz_07310" 1669648 1671057 "-"
"1401" "alpha/beta fold hydrolase" "vnz_07315" 1671186 1672313 "-"
"1402" "inorganic phosphate transporter" "vnz_07320" 1672696 1673961 "+"
"1403" "hypothetical protein" "vnz_07325" 1673974 1674195 "+"
"1404" "cobalamin biosynthesis protein" "vnz_07330" 1674498 1675460 "+"
"1405" "cobyric acid synthase" "vnz_07335" 1675457 1676965 "+"
"1406" "putative cobaltochelatase" "vnz_07340" 1677039 1679108 "+"
"1407" "cob(I)yrinic acid a,c-diamideadenosyltransferase" "vnz_07345" 1679108 1679716 "+"
"1408" "cobyrinate a,c-diamide synthase" "vnz_07350" 1679710 1681110 "+"
"1409" "ZIP family metal transporter" "vnz_07355" 1681113 1681841 "-"
"1410" "threonine-phosphate decarboxylase" "vnz_07360" 1681884 1683530 "+"
"1411" "hypothetical protein" "vnz_07365" 1683699 1684697 "-"
"1412" "siderophore-interacting protein" "vnz_07370" 1685009 1685728 "-"
"1413" "penicillin acylase family protein" "vnz_07375" 1685820 1687961 "+"
"1414" "acetyltransferase" "vnz_07380" 1687958 1688527 "+"
"1415" "amidohydrolase family protein" "vnz_07385" 1688681 1689766 "-"
"1416" "alanine--glyoxylate aminotransferase familyprotein" "vnz_07390" 1689872 1690975 "+"
"1417" "alkene reductase" "vnz_07395" 1691082 1692149 "-"
"1418" "winged helix-turn-helix transcriptionalregulator" "vnz_07400" 1692262 1692771 "+"
"1419" "aminotransferase class V-fold PLP-dependentenzyme" "vnz_07405" 1692890 1693948 "-"
"1420" "DsbA family oxidoreductase" "vnz_07410" 1694075 1694782 "-"
"1421" "GNAT family N-acetyltransferase" "vnz_07415" 1694847 1695323 "-"
"1422" "helix-turn-helix domain-containing protein" "vnz_07420" 1695330 1696355 "-"
"1423" "MFS transporter" "vnz_07425" 1696426 1697808 "+"
"1424" "AraC family transcriptional regulator" "vnz_07430" 1697842 1698756 "-"
"1425" "zinc-dependent alcohol dehydrogenase familyprotein" "vnz_07435" 1698848 1699855 "+"
"1426" "aldehyde dehydrogenase (NADP(+))" "vnz_07440" 1699861 1701372 "-"
"1427" "IclR family transcriptional regulator" "vnz_07445" 1701522 1702292 "+"
"1428" "cupin domain-containing protein" "vnz_07450" 1702305 1702805 "-"
"1429" "hypothetical protein" "vnz_07455" 1702992 1703987 "+"
"1430" "response regulator transcription factor" "vnz_07465" 1705072 1705893 "+"
"1431" "penicillin-binding protein" "vnz_07470" 1705991 1707439 "+"
"1432" "hypothetical protein" "vnz_07475" 1707641 1708024 "+"
"1433" "HEAT repeat domain-containing protein" "vnz_07480" 1708021 1710060 "+"
"1434" "SpoIIE family protein phosphatase" "vnz_07485" 1710211 1712277 "+"
"1435" "SpoIIE family protein phosphatase/ATP-bindingprotein" "vnz_07490" 1712274 1715048 "+"
"1436" "hypothetical protein" "vnz_07500" 1715435 1716568 "-"
"1437" "5-dehydro-4-deoxyglucarate dehydratase" "vnz_07505" 1716649 1717581 "-"
"1438" "NAD(P)-dependent oxidoreductase" "vnz_07510" 1717821 1718630 "+"
"1439" "SDR family oxidoreductase" "vnz_07515" 1718600 1719394 "+"
"1440" "AraC family transcriptional regulator" "vnz_07520" 1719652 1720587 "-"
"1441" "hypothetical protein" "vnz_07525" 1720862 1721101 "+"
"1442" "TerD family protein" "vnz_07530" 1721147 1722382 "+"
"1443" "1-aminocyclopropane-1-carboxylate deaminase" "vnz_07535" 1722402 1723418 "-"
"1444" "GntR family transcriptional regulator" "vnz_07540" 1723477 1724160 "-"
"1445" "DUF839 domain-containing protein" "vnz_07545" 1724227 1725681 "-"
"1446" "hypothetical protein" "vnz_07550" 1725984 1727456 "-"
"1447" "endonuclease/exonuclease/phosphatase familyprotein" "vnz_07555" 1727669 1729531 "+"
"1448" "antibiotic biosynthesis monooxygenase" "vnz_07560" 1729556 1730272 "-"
"1449" "GNAT family N-acetyltransferase" "vnz_07565" 1730324 1730809 "+"
"1450" "SDR family oxidoreductase" "vnz_07570" 1730871 1731626 "-"
"1451" "4-hydroxy-tetrahydrodipicolinate synthase" "vnz_07575" 1731763 1732656 "+"
"1452" "hypothetical protein" "vnz_07580" 1732635 1732844 "-"
"1453" "2,3,4,5-tetrahydropyridine-2,6-dicarboxylateN-succinyltransferase" "vnz_07585" 1732908 1733891 "-"
"1454" "TetR family transcriptional regulator" "vnz_07590" 1734001 1734549 "-"
"1455" "multidrug efflux SMR transporter" "vnz_07595" 1734549 1734887 "-"
"1456" "hypothetical protein" "vnz_07600" 1734932 1736005 "+"
"1457" "metal-sulfur cluster assembly factor" "vnz_07605" 1736112 1736450 "-"
"1458" "SUF system NifU family Fe-S cluster assemblyprotein" "vnz_07610" 1736447 1736917 "-"
"1459" "cysteine desulfurase" "vnz_07615" 1736927 1738195 "-"
"1460" "Fe-S cluster assembly ATPase SufC" "vnz_07620" 1738192 1738956 "-"
"1461" "bifunctional 3-phenylpropionate/cinnamic aciddioxygenase ferredoxin subunit" "vnz_07625" 1738964 1739281 "-"
"1462" "Fe-S cluster assembly protein SufD" "vnz_07630" 1739281 1740462 "-"
"1463" "Fe-S cluster assembly protein SufB" "vnz_07635" 1740524 1741939 "-"
"1464" "transcriptional regulator" "vnz_07640" 1741936 1742661 "-"
"1465" "ABC transporter ATP-binding protein" "vnz_07645" 1742962 1743897 "+"
"1466" "ABC transporter permease" "vnz_07650" 1743894 1744679 "+"
"1467" "heme A synthase" "vnz_07655" 1744732 1745721 "+"
"1468" "amidohydrolase family protein" "vnz_07660" 1745746 1746846 "-"
"1469" "hypothetical protein" "vnz_07665" 1746922 1747242 "-"
"1470" "protoheme IX farnesyltransferase" "vnz_07670" 1747361 1748308 "-"
"1471" "transketolase" "vnz_07675" 1748622 1750709 "+"
"1472" "transaldolase" "vnz_07680" 1750746 1751864 "+"
"1473" "glucose-6-phosphate dehydrogenase" "vnz_07685" 1751870 1753402 "+"
"1474" "glucose-6-phosphate dehydrogenase assemblyprotein OpcA" "vnz_07690" 1753399 1754433 "+"
"1475" "6-phosphogluconolactonase" "vnz_07695" 1754430 1755212 "+"
"1476" "PH domain-containing protein" "vnz_07700" 1755235 1756815 "-"
"1477" "PH domain-containing protein" "vnz_07705" 1756812 1757312 "-"
"1478" "glucose-6-phosphate isomerase" "vnz_07710" 1757317 1758978 "-"
"1479" "MFS transporter" "vnz_07715" 1759035 1760264 "-"
"1480" "RNA polymerase-binding protein RbpA" "vnz_07720" 1760358 1760693 "-"
"1481" "preprotein translocase subunit SecG" "vnz_07725" 1760771 1761001 "-"
"1482" "triose-phosphate isomerase" "vnz_07730" 1761099 1761878 "-"
"1483" "phosphoglycerate kinase" "vnz_07735" 1761885 1763096 "-"
"1484" "type I glyceraldehyde-3-phosphate dehydrogenase" "vnz_07740" 1763200 1764210 "-"
"1485" "zinc carboxypeptidase" "vnz_07745" 1764429 1767380 "-"
"1486" "DNA-binding protein WhiA" "vnz_07750" 1767556 1768545 "-"
"1487" "uridine diphosphate-N-acetylglucosamine-bindingprotein YvcK" "vnz_07755" 1768536 1769561 "-"
"1488" "RNase adapter RapZ" "vnz_07760" 1769558 1770520 "-"
"1489" "excinuclease ABC subunit UvrC" "vnz_07765" 1770517 1772493 "-"
"1490" "SDR family oxidoreductase" "vnz_07770" 1772552 1773304 "+"
"1491" "hypothetical protein" "vnz_07775" 1773379 1774131 "-"
"1492" "hypothetical protein" "vnz_07780" 1774137 1774760 "-"
"1493" "hypothetical protein" "vnz_07785" 1775003 1775932 "+"
"1494" "Rieske (2Fe-2S) protein" "vnz_07790" 1776009 1776434 "-"
"1495" "excinuclease ABC subunit UvrA" "vnz_07795" 1776569 1779661 "-"
"1496" "maleylpyruvate isomerase familymycothiol-dependent enzyme" "vnz_07800" 1779872 1780555 "+"
"1497" "MBL fold metallo-hydrolase" "vnz_07805" 1780577 1781233 "+"
"1498" "MHS family MFS transporter" "vnz_07810" 1781386 1782672 "+"
"1499" "hypothetical protein" "vnz_07815" 1783210 1783428 "+"
"1500" "hypothetical protein" "vnz_07820" 1783512 1785644 "+"
"1501" "TerC/Alx family metal homeostasis membraneprotein" "vnz_07825" 1785767 1786774 "-"
"1502" "TerD family protein" "vnz_07830" 1787008 1788954 "-"
"1503" "TerD family protein" "vnz_07835" 1789129 1789707 "-"
"1504" "excinuclease ABC subunit UvrB" "vnz_07840" 1789850 1791979 "-"
"1505" "membrane protein" "vnz_07845" 1792042 1792935 "-"
"1506" "methylated-DNA--[protein]-cysteineS-methyltransferase" "vnz_07850" 1793181 1793750 "+"
"1507" "MFS transporter" "vnz_07855" 1793821 1795113 "+"
"1508" "PD40 domain-containing protein" "vnz_07860" 1795226 1796221 "-"
"1509" "MFS transporter" "vnz_07865" 1796225 1797595 "-"
"1510" "discoidin domain-containing protein" "vnz_07870" 1797595 1798938 "-"
"1511" "cupin domain-containing protein" "vnz_07875" 1799251 1799607 "-"
"1512" "pseudouridine-5'-phosphate glycosidase" "vnz_07880" 1799882 1800850 "+"
"1513" "sugar kinase" "vnz_07885" 1800847 1801761 "+"
"1514" "uridine kinase" "vnz_07890" 1801810 1802445 "-"
"1515" "glyoxalase" "vnz_07895" 1802556 1802972 "+"
"1516" "SDR family oxidoreductase" "vnz_07900" 1803061 1803858 "+"
"1517" "MerR family transcriptional regulator" "vnz_07905" 1803885 1804268 "+"
"1518" "transcriptional regulator" "vnz_07910" 1804274 1804918 "-"
"1519" "pyridoxal phosphate-dependent aminotransferase" "vnz_07915" 1805010 1806221 "+"
"1520" "hypothetical protein" "vnz_07920" 1806312 1806770 "+"
"1521" "DUF2293 domain-containing protein" "vnz_07925" 1806784 1807473 "+"
"1522" "chaplin" "vnz_07930" 1807521 1808318 "-"
"1523" "SWIM zinc finger family protein" "vnz_07935" 1808443 1809711 "-"
"1524" "DEAD/DEAH box helicase" "vnz_07940" 1809708 1812581 "-"
"1525" "hypothetical protein" "vnz_07945" 1812763 1813101 "+"
"1526" "hypothetical protein" "vnz_07950" 1813176 1813445 "+"
"1527" "tetratricopeptide repeat protein" "vnz_07955" 1813533 1813916 "-"
"1528" "dephospho-CoA kinase" "vnz_07960" 1814040 1814645 "-"
"1529" "PAC2 family protein" "vnz_07965" 1814677 1815615 "-"
"1530" "30S ribosomal protein S1" "vnz_07970" 1815794 1817305 "-"
"1531" "class I SAM-dependent methyltransferase" "vnz_07975" 1817653 1818492 "+"
"1532" "ATP-dependent helicase HrpB" "vnz_07980" 1818583 1821228 "+"
"1533" "DUF3068 domain-containing protein" "vnz_07985" 1821197 1822192 "-"
"1534" "lytic transglycosylase" "vnz_07990" 1822514 1824301 "-"
"1536" "DNA polymerase I" "vnz_08010" 1826486 1829197 "-"
"1537" "FdhF/YdeP family oxidoreductase" "vnz_08015" 1829332 1831614 "+"
"1538" "hotdog fold thioesterase" "vnz_08020" 1831690 1832160 "+"
"1539" "branched-chain amino acid ABC transportersubstrate-binding protein" "vnz_08025" 1832675 1833907 "+"
"1540" "branched-chain amino acid ABC transporterpermease" "vnz_08030" 1834005 1834934 "+"
"1541" "branched-chain amino acid ABC transporterpermease" "vnz_08035" 1834940 1836769 "+"
"1542" "ABC transporter ATP-binding protein" "vnz_08040" 1836773 1837762 "+"
"1543" "ABC transporter ATP-binding protein" "vnz_08045" 1837759 1838475 "+"
"1544" "response regulator" "vnz_08050" 1838543 1839196 "-"
"1545" "pyruvate kinase" "vnz_08060" 1839477 1840904 "-"
"1546" "SIMPL domain-containing protein" "vnz_08065" 1841051 1841770 "-"
"1547" "5'-nucleotidase C-terminal domain-containingprotein" "vnz_08070" 1841893 1843695 "+"
"1548" "SidA/IucD/PvdA family monooxygenase" "vnz_08075" 1843710 1845122 "-"
"1549" "aminotransferase class V-fold PLP-dependentenzyme" "vnz_08080" 1845119 1846501 "-"
"1550" "aminopeptidase N" "vnz_08085" 1846755 1849241 "-"
"1551" "asparaginase" "vnz_08090" 1849311 1850297 "-"
"1552" "chorismate mutase" "vnz_08095" 1850297 1850611 "-"
"1553" "helix-turn-helix domain-containing protein" "vnz_08100" 1850623 1851510 "-"
"1554" "beta-galactosidase" "vnz_08105" 1851620 1853371 "+"
"1555" "serine protease" "vnz_08110" 1853509 1854276 "-"
"1556" "hypothetical protein" "vnz_08115" 1854454 1855338 "+"
"1557" "GNAT family N-acetyltransferase" "vnz_08120" 1855335 1855811 "-"
"1558" "ankyrin repeat domain-containing protein" "vnz_08125" 1855914 1857431 "+"
"1559" "ribonuclease" "vnz_08130" 1857447 1857872 "-"
"1560" "SDR family oxidoreductase" "vnz_08135" 1858038 1858913 "-"
"1561" "SDR family oxidoreductase" "vnz_08140" 1858915 1859706 "-"
"1562" "enoyl-CoA hydratase family protein" "vnz_08145" 1859772 1860521 "+"
"1563" "CoA transferase subunit A" "vnz_08150" 1860518 1861375 "+"
"1564" "CoA-transferase" "vnz_08155" 1861372 1862103 "+"
"1565" "nitronate monooxygenase" "vnz_08160" 1862103 1863155 "+"
"1566" "tyrosine-protein phosphatase" "vnz_08165" 1863203 1864111 "+"
"1567" "DEAD/DEAH box helicase" "vnz_08170" 1864036 1865742 "-"
