"gene","FDR","logFC","add_variable","start","end","width","strand"
"SCO0218",1.28e-08,2.27500704749987,"Daor1vsWT",211748,212551,804,"+"
"SCO0219",7.03e-07,1.97819562968165,"Daor1vsWT",212551,213321,771,"+"
"SCO0220",5.27e-08,2.13750352374994,"Daor1vsWT",213427,213870,444,"+"
"SCO0231",2.71e-62,4.54843662469604,"Daor1vsWT",221092,221247,156,"-"
"SCO0256",6.8e-05,3.07210580048042,"Daor1vsWT",245986,246783,798,"+"
"SCO0257",1.81e-05,3.37851162325373,"Daor1vsWT",246868,247869,1002,"+"
"SCO0258",0.000111,2.89336221076387,"Daor1vsWT",247871,248680,810,"+"
"SCO0259",3.51e-05,3.09761079662642,"Daor1vsWT",248677,249702,1026,"+"
"SCO0260",2.2e-06,1.76553474636298,"Daor1vsWT",249755,250084,330,"+"
"SCO0595",9.58e-23,2.11103131238874,"Daor1vsWT",636573,637166,594,"+"
"SCO0596",5.69e-60,4.70597790168252,"Daor1vsWT",637261,637824,564,"+"
"SCO0596",5.69e-60,4.70597790168252,"Daor1vsWT",637261,637824,564,"+"
"SCO0600",2.16e-25,2.5033487351675,"Daor1vsWT",639859,640704,846,"+"
"SCO0666",5.42e-32,3.51096191927738,"Daor1vsWT",704114,706393,2280,"+"
"SCO0678",4.91e-76,4.81249822533356,"Daor1vsWT",720985,721158,174,"-"
"SCO0681",2.47e-07,1.74416109557041,"Daor1vsWT",723181,724545,1365,"+"
"SCO0686",5.24e-23,2.08406426478847,"Daor1vsWT",726845,728068,1224,"+"
"SCO0689",1.66e-26,2.19849415363908,"Daor1vsWT",730352,730987,636,"+"
"SCO0698",1.28e-41,2.75274859140713,"Daor1vsWT",739510,739875,366,"-"
"SCO0718",2.21e-27,2.30158764660319,"Daor1vsWT",761675,761896,222,"+"
"SCO0719",1.25e-21,1.91073266190291,"Daor1vsWT",762009,762485,477,"-"
"SCO0721",3.25e-22,2.25701061820602,"Daor1vsWT",764216,766594,2379,"-"
"SCO0722",3.46e-31,2.52857131887076,"Daor1vsWT",766591,767331,741,"-"
"SCO0750",1.87e-63,3.51096191927738,"Daor1vsWT",791701,791880,180,"-"
"SCO0753",1.33e-25,2.24184018356467,"Daor1vsWT",796584,796799,216,"+"
"SCO0757",3.86e-18,1.83592407425437,"Daor1vsWT",802797,803807,1011,"+"
"SCO0758",3.04e-17,2.13422093976063,"Daor1vsWT",803856,804035,180,"+"
"SCO0759",3.53e-26,2.63459326844576,"Daor1vsWT",804091,805122,1032,"+"
"SCO0760",1.75e-19,2.03913839390696,"Daor1vsWT",805135,805797,663,"+"
"SCO0761",1.78e-05,1.74846123300404,"Daor1vsWT",805859,806038,180,"+"
"SCO0762",1.58e-05,1.32192809488736,"Daor1vsWT",806172,806606,435,"-"
"SCO0776",7.96e-43,2.43562859405209,"Daor1vsWT",824123,825139,1017,"-"
"SCO0777",3.97e-33,2.19849415363908,"Daor1vsWT",825287,826312,1026,"+"
"SCO0778",3.99e-16,1.73552217729654,"Daor1vsWT",826361,826669,309,"+"
"SCO0779",6.07e-52,3.65535182861255,"Daor1vsWT",826690,827085,396,"-"
"SCO0784",6.81e-58,3.29278174922785,"Daor1vsWT",831835,832518,684,"+"
"SCO0786",3.45e-24,1.92219784839637,"Daor1vsWT",833261,833800,540,"+"
"SCO0790",1.84e-11,2.66220549965362,"Daor1vsWT",836721,837377,657,"+"
"SCO0792",3.7e-13,1.60880924267552,"Daor1vsWT",838977,840008,1032,"+"
"SCO0793",4.07e-13,2.0036022366802,"Daor1vsWT",840026,840334,309,"-"
"SCO0827",1.42e-10,1.94110631094643,"Daor1vsWT",875388,875726,339,"-"
"SCO0834",5.78e-15,1.790772037862,"Daor1vsWT",882826,883014,189,"-"
"SCO0844",1.41e-09,1.62293035092018,"Daor1vsWT",892665,893006,342,"-"
"SCO0845",1.74e-14,2.25398926623079,"Daor1vsWT",893013,893279,267,"-"
"SCO0870",8.9e-14,1.68706068833989,"Daor1vsWT",916336,916785,450,"-"
"SCO0871",2.54e-13,1.66448284036468,"Daor1vsWT",916782,918377,1596,"-"
"SCO0885",4.76e-25,2.23572705983806,"Daor1vsWT",931333,931737,405,"+"
"SCO0896",3.97e-33,2.7311832415722,"Daor1vsWT",942453,942878,426,"-"
"SCO0897",1.13e-55,3.40599235967584,"Daor1vsWT",942974,943567,594,"-"
"SCO0906",2.27e-23,2.07382023329167,"Daor1vsWT",951452,951949,498,"-"
"SCO0919",2.47e-15,1.72246602447109,"Daor1vsWT",964984,965943,960,"-"
"SCO1124",2.65e-08,1.84799690655495,"Daor1vsWT",1181366,1181857,492,"-"
"SCO1125",8.42e-12,1.62293035092018,"Daor1vsWT",1181900,1182421,522,"-"
"SCO1130",1.61e-09,1.8073549220576,"Daor1vsWT",1186491,1188266,1776,"+"
"SCO1174",0.000686,1.77820857639809,"Daor1vsWT",1237012,1238535,1524,"+"
"SCO1204",6.63e-20,1.86393845042397,"Daor1vsWT",1275830,1277215,1386,"+"
"SCO1223",2.28e-06,1.70929063572336,"Daor1vsWT",1293687,1294910,1224,"+"
"SCO1225",2.95e-53,3.25701061820602,"Daor1vsWT",1295526,1297040,1515,"+"
"SCO1491",3.06e-09,1.89141918684608,"Daor1vsWT",1593519,1594085,567,"-"
"SCO1492",3.35e-13,1.84799690655495,"Daor1vsWT",1594150,1595256,1107,"-"
"SCO1557",1.18e-13,2.98550043030489,"Daor1vsWT",1669056,1669883,828,"-"
"SCO1864",6.41e-06,0.887525270741587,"Daor1vsWT",1998468,1998980,513,"+"
"SCO1865",0.0021,0.75702324650746,"Daor1vsWT",1999110,2000381,1272,"+"
"SCO1866",5.47e-05,1.16992500144231,"Daor1vsWT",2000500,2000898,399,"+"
"SCO1867",0.000515,1.02147972741045,"Daor1vsWT",2000962,2001804,843,"+"
"SCO1898",3.47e-07,3.16832111573972,"Daor1vsWT",2032364,2033734,1371,"+"
"SCO1899",3.84e-07,3.22187708107703,"Daor1vsWT",2033731,2034675,945,"+"
"SCO1900",3.64e-09,3.95419631038688,"Daor1vsWT",2034672,2035550,879,"+"
"SCO1901",1.54e-10,4.0703893278914,"Daor1vsWT",2035547,2036536,990,"+"
"SCO1902",3.14e-06,2.68706068833989,"Daor1vsWT",2036555,2036944,390,"+"
"SCO1910",1.84e-49,3.65535182861255,"Daor1vsWT",2047117,2047614,498,"-"
"SCO1911",6.26e-52,3.67807190511264,"Daor1vsWT",2047611,2048108,498,"-"
"SCO2113",0.000841,1.74416109557041,"Daor1vsWT",2271144,2271647,504,"+"
"SCO2136",8.4e-11,1.87970576628229,"Daor1vsWT",2297707,2298750,1044,"-"
"SCO2210",1.29e-10,2.33628338786443,"Daor1vsWT",2374319,2375350,1032,"+"
"SCO2280",2.67e-23,1.97819562968165,"Daor1vsWT",2449644,2450291,648,"-"
"SCO2315",4.09e-41,3.39231742277876,"Daor1vsWT",2486429,2486722,294,"+"
"SCO2341",1.14e-53,3.94485844580754,"Daor1vsWT",2510508,2511071,564,"-"
"SCO2342",1.15e-50,4.11270013274936,"Daor1vsWT",2511076,2511747,672,"-"
"SCO2344",2.01e-15,1.65535182861255,"Daor1vsWT",2512483,2514552,2070,"-"
"SCO2372",3.49e-44,2.84799690655495,"Daor1vsWT",2542460,2542768,309,"-"
"SCO2453",3.01e-59,3.74416109557041,"Daor1vsWT",2639574,2639792,219,"+"
"SCO2493",5.43e-21,2.28392177230762,"Daor1vsWT",2683469,2684677,1209,"-"
"SCO2494",1.78e-07,2.26903314645524,"Daor1vsWT",2684904,2687633,2730,"-"
"SCO2628",1.04e-10,1.97452931248388,"Daor1vsWT",2854806,2856074,1269,"+"
"SCO2788",2.6e-07,1.62293035092018,"Daor1vsWT",3043459,3043716,258,"+"
"SCO2789",1.95e-06,1.61353165291793,"Daor1vsWT",3043786,3045603,1818,"+"
"SCO2886",1.33e-31,2.50842865253186,"Daor1vsWT",3140760,3141644,885,"-"
"SCO2907",4.31e-14,1.7311832415722,"Daor1vsWT",3159229,3160479,1251,"+"
"SCO2910",1.56e-08,1.73984810269933,"Daor1vsWT",3161747,3162697,951,"-"
"SCO2911",1.52e-08,1.60880924267552,"Daor1vsWT",3162704,3162982,279,"-"
"SCO2924",2.39e-23,1.92219784839637,"Daor1vsWT",3175140,3175568,429,"+"
"SCO3034",7.51e-07,1.42223300068305,"Daor1vsWT",3320753,3321016,264,"-"
"SCO3064",7e-09,1.78240856492737,"Daor1vsWT",3357162,3358658,1497,"+"
"SCO3139",2.68e-15,1.66902676550963,"Daor1vsWT",3439885,3441573,1689,"+"
"SCO3158",2.02e-19,2.11769504266975,"Daor1vsWT",3460797,3461177,381,"-"
"SCO3226",4.25e-05,0.84799690655495,"Daor1vsWT",3538679,3539347,669,"+"
"SCO3311",2.02e-07,1.62293035092018,"Daor1vsWT",3662050,3663042,993,"-"
"SCO3802",3.77e-53,3.65535182861255,"Daor1vsWT",4183022,4183273,252,"+"
"SCO3805",1.34e-23,2.03562390973072,"Daor1vsWT",4184790,4185284,495,"+"
"SCO3857",3.93e-14,1.8073549220576,"Daor1vsWT",4241704,4242402,699,"+"
"SCO4029",3.91e-36,2.84197311892718,"Daor1vsWT",4425406,4426155,750,"+"
"SCO4077",2.41e-07,1.64616265715789,"Daor1vsWT",4470929,4471201,273,"+"
"SCO4078",5.03e-10,2.21412480535285,"Daor1vsWT",4471198,4471878,681,"+"
"SCO4079",3.25e-08,2.1243281350022,"Daor1vsWT",4471875,4474133,2259,"+"
"SCO4164",3.05e-16,2.82171021503467,"Daor1vsWT",4580995,4581840,846,"+"
"SCO4165",1.39e-17,2.41683974191283,"Daor1vsWT",4581874,4582161,288,"+"
"SCO4498",3.71e-40,3.96347412397489,"Daor1vsWT",4916551,4917873,1323,"+"
"SCO4734",2.27e-07,1.77399632511117,"Daor1vsWT",5147451,5147894,444,"+"
"SCO4799",4.13e-08,1.68706068833989,"Daor1vsWT",5223103,5224098,996,"-"
"SCO4829",5e-12,1.71369581484336,"Daor1vsWT",5260321,5261853,1533,"+"
"SCO4846",1.91e-10,1.70487196445635,"Daor1vsWT",5277574,5278539,966,"+"
"SCO4896",1.32e-08,1.6507645591169,"Daor1vsWT",5329530,5330840,1311,"-"
"SCO4982",3.87e-25,2.22650852980868,"Daor1vsWT",5420938,5421120,183,"+"
"SCO5178",9.06e-10,1.98550043030488,"Daor1vsWT",5626423,5627601,1179,"+"
"SCO5243",1.8e-39,3.65535182861255,"Daor1vsWT",5704007,5705092,1086,"-"
"SCO5244",2.67e-39,3.51096191927738,"Daor1vsWT",5705089,5705502,414,"-"
"SCO5529",3.76e-14,1.77399632511117,"Daor1vsWT",6023669,6025273,1605,"+"
"SCO5650",7.41e-08,1.61823865559545,"Daor1vsWT",6149064,6149768,705,"-"
"SCO5966",1.12e-24,2.80322703643493,"Daor1vsWT",6535912,6539055,3144,"-"
"SCO5982",2.67e-12,1.76553474636298,"Daor1vsWT",6557772,6558617,846,"-"
"SCO6014",7.14e-18,1.790772037862,"Daor1vsWT",6597042,6598553,1512,"+"
"SCO6051",2.8e-28,2.57288966842058,"Daor1vsWT",6642322,6643863,1542,"-"
"SCO6141",1.11e-32,2.94673086014031,"Daor1vsWT",6742307,6742909,603,"-"
"SCO6257",2.04e-12,1.74846123300404,"Daor1vsWT",6879297,6880301,1005,"+"
"SCO6258",9.78e-18,1.73984810269933,"Daor1vsWT",6880298,6881338,1041,"+"
"SCO6259",5.49e-16,1.76977173924945,"Daor1vsWT",6881335,6882126,792,"+"
"SCO6494",3.43e-34,2.85199883711245,"Daor1vsWT",7187223,7187840,618,"+"
"SCO6495",2.23e-28,2.20476675065461,"Daor1vsWT",7187926,7188888,963,"-"
"SCO6496",3.2e-26,2.46466826700344,"Daor1vsWT",7189075,7190964,1890,"+"
"SCO6497",6.25e-26,2.54349588342577,"Daor1vsWT",7190961,7192808,1848,"+"
"SCO6499",1.48e-62,4.61470984411521,"Daor1vsWT",7193830,7194222,393,"+"
"SCO6500",2.03e-71,4.49185309632967,"Daor1vsWT",7194294,7194728,435,"+"
"SCO6501",8.5e-54,4.51727569320958,"Daor1vsWT",7194725,7195498,774,"+"
"SCO6502",4.02e-89,5.0574502721839,"Daor1vsWT",7195503,7195766,264,"+"
"SCO6503",4.28e-65,4.02680005934372,"Daor1vsWT",7195763,7196482,720,"+"
"SCO6504",1.53e-74,4.46597446450407,"Daor1vsWT",7196479,7197609,1131,"+"
"SCO6505",4.69e-74,4.27798474729977,"Daor1vsWT",7197606,7197935,330,"+"
"SCO6506",1.42e-60,3.56071495447448,"Daor1vsWT",7197932,7198711,780,"+"
"SCO6507",2.03e-27,4.00898878322726,"Daor1vsWT",7198708,7198890,183,"+"
"SCO6508",2.68e-48,3.81762325751143,"Daor1vsWT",7198892,7199188,297,"+"
"SCO6509",1.19e-51,3.68929916053589,"Daor1vsWT",7199279,7199449,171,"-"
"SCO6510",1.34e-29,2.52105073690096,"Daor1vsWT",7199504,7200325,822,"-"
"SCO6511",1.6e-58,3.28243980500639,"Daor1vsWT",7200436,7201941,1506,"-"
"SCO6513",5.45e-29,3.0036022366802,"Daor1vsWT",7203714,7204835,1122,"-"
"SCO6514",2.1e-50,3.33628338786443,"Daor1vsWT",7204898,7205176,279,"+"
"SCO6515",1.6e-77,4.75488750216347,"Daor1vsWT",7205258,7205800,543,"-"
"SCO6516",1.25e-76,4.86789646399265,"Daor1vsWT",7205826,7206224,399,"-"
"SCO6520",4.81e-33,2.72900887033786,"Daor1vsWT",7210082,7210882,801,"+"
"SCO6682",1.61e-09,2.31034012061215,"Daor1vsWT",7422494,7422622,129,"+"
"SCO6685",1.28e-12,1.8073549220576,"Daor1vsWT",7426396,7427004,609,"-"
"SCO6706",4.89e-38,3.22342254993494,"Daor1vsWT",7457668,7458858,1191,"+"
"SCO6724",1.35e-15,1.65535182861255,"Daor1vsWT",7479567,7479896,330,"+"
"SCO6965",9.61e-19,2,"Daor1vsWT",7731590,7731922,333,"-"
"SCO7040",2.38e-06,1.63691458035588,"Daor1vsWT",7832790,7834235,1446,"-"
"SCO7041",2.13e-34,3.49825086752783,"Daor1vsWT",7834447,7834857,411,"+"
"SCO7186",1.36e-48,2.92029330021101,"Daor1vsWT",7986335,7986640,306,"+"
"SCO7210",5.88e-75,4.67807190511264,"Daor1vsWT",8010973,8011434,462,"+"
"SCO7236",8.2e-60,3.60880924267552,"Daor1vsWT",8043825,8045489,1665,"-"
"SCO7237",8.73e-80,4.27052894238072,"Daor1vsWT",8045564,8045923,360,"-"
"SCO7238",1.57e-53,3.53605290024021,"Daor1vsWT",8046083,8046460,378,"+"
"SCO7260",9.25e-38,2.89530262133331,"Daor1vsWT",8071805,8072074,270,"-"
"SCO7276",3.26e-26,2.15055967657538,"Daor1vsWT",8084166,8084750,585,"-"
"SCO7277",2.73e-21,1.83995958748953,"Daor1vsWT",8084920,8085375,456,"+"
"SCO7278",5.3e-30,2.73984810269933,"Daor1vsWT",8085400,8086287,888,"-"
"SCO7287",8.94e-29,3.18428029441938,"Daor1vsWT",8093034,8093387,354,"-"
"SCO7288",1.21e-24,1.98185265328974,"Daor1vsWT",8093542,8094045,504,"+"
"SCO7289",1.89e-39,3.0703893278914,"Daor1vsWT",8094134,8094562,429,"-"
"SCO7290",2.1e-37,2.56803210477128,"Daor1vsWT",8094656,8095633,978,"-"
"SCO7305",8.31e-21,1.84398384404833,"Daor1vsWT",8113394,8113747,354,"-"
"SCO7306",7.1e-13,1.98550043030488,"Daor1vsWT",8113809,8114060,252,"-"
"SCO7311",4.58e-48,3.21101219348551,"Daor1vsWT",8118005,8119483,1479,"-"
"SCO7312",7.7e-32,2.57288966842058,"Daor1vsWT",8119513,8119746,234,"-"
"SCO7314",7.82e-83,4.98641093525204,"Daor1vsWT",8120541,8121440,900,"+"
"SCO7315",1.01e-21,3.51096191927738,"Daor1vsWT",8121460,8121699,240,"+"
"SCO7316",2.1e-50,3.64385618977472,"Daor1vsWT",8121760,8122602,843,"+"
"SCO7317",1.4e-92,4.36457243229586,"Daor1vsWT",8122631,8123065,435,"+"
"SCO7325",6.72e-62,3.877744249949,"Daor1vsWT",8131786,8132178,393,"-"
"SCO7330",5.86e-06,1.91073266190291,"Daor1vsWT",8141668,8141904,237,"+"
"SCO7331",4.41e-55,2.9126498648972,"Daor1vsWT",8141930,8143021,1092,"-"
"SCO7371",3.83e-55,4.09592441999854,"Daor1vsWT",8184508,8185071,564,"-"
"SCO7373",4.53e-05,1.60880924267552,"Daor1vsWT",8185841,8186332,492,"-"
"SCO7374",3.19e-16,2.64385618977472,"Daor1vsWT",8186329,8188821,2493,"-"
"SCO7376",3.38e-26,2.30451104180995,"Daor1vsWT",8189725,8190453,729,"-"
"SCO7377",3.93e-14,2.5033487351675,"Daor1vsWT",8190450,8190707,258,"-"
"SCO7378",7.41e-22,3.22342254993494,"Daor1vsWT",8190704,8191414,711,"-"
"SCO7379",1.77e-08,1.74416109557041,"Daor1vsWT",8191562,8191873,312,"+"
"SCO7381",7.17e-16,2.26903314645524,"Daor1vsWT",8193260,8193673,414,"+"
"SCO7387",2.67e-18,2.1407786557828,"Daor1vsWT",8199503,8200009,507,"+"
"SCO7388",2.54e-07,1.66448284036468,"Daor1vsWT",8200002,8201621,1620,"+"
"SCO7393",1.12e-51,4.04439411935845,"Daor1vsWT",8204557,8205306,750,"-"
"SCO7403",9.32e-14,1.98185265328974,"Daor1vsWT",8216238,8216423,186,"+"
"SCO7412",1.89e-56,4.49825086752783,"Daor1vsWT",8227072,8228874,1803,"+"
"SCO7413",2.96e-35,3.14241343787374,"Daor1vsWT",8228871,8229902,1032,"+"
"SCO7416",1.76e-21,2.01435529297707,"Daor1vsWT",8232052,8232456,405,"-"
"SCO7417",7.91e-19,2.08065766334523,"Daor1vsWT",8232555,8233778,1224,"-"
"SCO7418",1.17e-18,1.93734439215023,"Daor1vsWT",8233775,8235016,1242,"-"
"SCO7419",5.14e-22,2.34766565630097,"Daor1vsWT",8235013,8235564,552,"-"
"SCO7420",8.45e-18,2.16349873228288,"Daor1vsWT",8235635,8235982,348,"-"
"SCO7421",2.21e-16,1.73984810269933,"Daor1vsWT",8235979,8236386,408,"-"
"SCO7423",3.63e-16,2.0036022366802,"Daor1vsWT",8238152,8238862,711,"-"
"SCO7428",8.14e-10,1.85598969730848,"Daor1vsWT",8242355,8243551,1197,"+"
"SCO7431",1.42e-53,3.25398926623079,"Daor1vsWT",8244832,8245092,261,"-"
"SCO7434",1.62e-29,2.95791459863299,"Daor1vsWT",8247219,8247980,762,"+"
"SCO7442",2.45e-36,3.15055967657538,"Daor1vsWT",8256100,8256564,465,"+"
"SCO7446",2.99e-60,3.01077983875324,"Daor1vsWT",8260631,8261071,441,"+"
"SCO7454",8.07e-15,2.22032995487956,"Daor1vsWT",8269590,8270384,795,"+"
"SCO7463",4.46e-09,1.79493566280354,"Daor1vsWT",8276830,8278032,1203,"+"
"SCO7464",4.51e-11,1.88362081628567,"Daor1vsWT",8278029,8278430,402,"+"
"SCO7465",2.96e-11,1.8073549220576,"Daor1vsWT",8278427,8278804,378,"+"
"SCO7466",4.28e-10,1.79493566280354,"Daor1vsWT",8278842,8279372,531,"+"
"SCO7494",3.16e-22,2.70929063572336,"Daor1vsWT",8306615,8307055,441,"-"
"SCO7590",6.99e-31,2.77820857639809,"Daor1vsWT",8415439,8416959,1521,"-"
"SCO7646",1.78e-60,3.86789646399265,"Daor1vsWT",8474054,8474326,273,"+"
"SCO7747",1.88e-63,3.65535182861255,"Daor1vsWT",8580056,8581234,1179,"+"
"SCO7748",9.6e-15,1.59931779369823,"Daor1vsWT",8581406,8583109,1704,"+"
"SCO7751",1.69e-23,1.93734439215023,"Daor1vsWT",8584661,8585167,507,"+"
"SCO7821",9.26e-40,3.4594316186373,"Daor1vsWT",8640037,8640450,414,"+"
