"logFC","FDR","gene","add_variable","start","end","width","strand"
-1.0041,2.9e-05,"SCO6463","liquid culture",7151706,7152575,870,"+"
-0.8886,8e-06,"SCO2099","liquid culture",2256540,2257046,507,"+"
-0.7736,0.000533,"SCO2019","liquid culture",2165374,2165724,351,"-"
-0.0699,0.765608,"SCO1622","liquid culture",1736156,1737061,906,"+"
0.2747,0.102879,"SCO0335","liquid culture",336333,339467,3135,"+"
0.0134,0.955534,"SCO5780","liquid culture",6317771,6318766,996,"-"
-0.4577,0.025009,"SCO6878","liquid culture",7646264,7647787,1524,"-"
0.5207,0.000986,"SCO4617","liquid culture",5040809,5042281,1473,"-"
-0.3677,0.036303,"SCO5997","liquid culture",6572032,6572550,519,"+"
0.1773,0.49832,"SCO1042","liquid culture",1098616,1098966,351,"-"
-0.6444,0.010713,"SCO0330","liquid culture",331504,332253,750,"+"
-1.3482,0,"SCO0540","liquid culture",572810,573709,900,"+"
0.8565,1e-06,"SCO3878","liquid culture",4268713,4269843,1131,"-"
-0.2521,0.218728,"SCO6553","liquid culture",7250906,7252420,1515,"-"
-0.3262,0.047414,"SCO2420","liquid culture",2593549,2594355,807,"-"
-0.5646,0.009004,"SCO2333","liquid culture",2502545,2502709,165,"+"
-0.3303,0.062856,"SCO7005","liquid culture",7778881,7780284,1404,"+"
-0.2057,0.39256,"SCO0117","liquid culture",94989,95681,693,"+"
-3.532,0,"SCO4886","liquid culture",5319704,5321317,1614,"+"
-0.4085,0.011136,"SCO7152","liquid culture",7945453,7946277,825,"+"
-0.0719,0.756335,"SCO1751","liquid culture",1871317,1872921,1605,"-"
-0.9859,1e-06,"SCO3500","liquid culture",3865647,3867689,2043,"-"
-0.8002,1.2e-05,"SCO7770","liquid culture",8598830,8599405,576,"+"
-1.305,2e-06,"SCO0143","liquid culture",136647,137183,537,"+"
-0.2483,0.550215,"SCO0113","liquid culture",92961,93257,297,"+"
-1.9377,0,"SCO4863","liquid culture",5291932,5292354,423,"+"
-0.1592,0.428636,"SCO2366","liquid culture",2535421,2536563,1143,"-"
-0.4996,0.054459,"SCO1442","liquid culture",1537882,1538526,645,"-"
-2.2578,0,"SCO5595","liquid culture",6099500,6099850,351,"+"
0.1081,0.627595,"SCO1283","liquid culture",1353978,1354445,468,"-"
-1.7925,0,"SCO0088","liquid culture",74917,75876,960,"-"
0.1473,0.544372,"SCO2708","liquid culture",2950351,2951667,1317,"+"
0.6733,0.00096,"SCO6439","liquid culture",7122416,7122904,489,"-"
-0.3555,0.01547,"SCO7155","liquid culture",7949234,7950301,1068,"+"
-0.2924,0.056437,"SCO6057","liquid culture",6649041,6650093,1053,"-"
0.7441,0.000504,"SCO1686","liquid culture",1806297,1806842,546,"+"
-0.6069,0.008175,"SCO5411","liquid culture",5881074,5882480,1407,"-"
-0.4399,0.030879,"SCO6834","liquid culture",7605261,7606241,981,"-"
-0.3116,0.131511,"SCO6885","liquid culture",7654146,7654901,756,"+"
1.8691,0,"SCO6938","liquid culture",7702634,7703887,1254,"-"
-0.6009,0.015429,"SCO2060","liquid culture",2207893,2208813,921,"-"
-0.9041,9e-05,"SCO5690","liquid culture",6197356,6199599,2244,"+"
1.3303,0.015928,"SCO6292","liquid culture",6951534,6952430,897,"+"
0.1739,0.363457,"SCO7480","liquid culture",8293353,8293976,624,"+"
-0.5301,0.007777,"SCO7566","liquid culture",8389526,8390392,867,"+"
-1.2289,0,"SCO0957","liquid culture",1005700,1007202,1503,"-"
0.1757,0.386303,"SCO7350","liquid culture",8162598,8163794,1197,"-"
-0.2721,0.1803,"SCO0982","liquid culture",1033827,1035107,1281,"+"
-0.1873,0.346868,"SCO4664","liquid culture",5093796,5095631,1836,"-"
-0.5688,0.00613,"SCO2642","liquid culture",2873181,2873657,477,"-"
-0.7206,2e-05,"SCO5288","liquid culture",5760899,5761690,792,"-"
1.7764,0,"SCO5247","liquid culture",5707716,5708624,909,"-"
0.5616,0.000231,"SCO0357","liquid culture",361759,362478,720,"-"
2.1882,0,"SCO0297","liquid culture",291315,292592,1278,"+"
-0.4897,0.031895,"SCO6901","liquid culture",7665653,7666519,867,"+"
-1.2942,0,"SCO3501","liquid culture",3867696,3869381,1686,"-"
-1.1422,0,"SCO2894","liquid culture",3147985,3149049,1065,"-"
-1.1493,0.000317,"SCO2828","liquid culture",3087748,3088677,930,"+"
-0.6037,0.002551,"SCO2292","liquid culture",2461505,2462512,1008,"-"
-0.4266,0.017057,"SCO2418","liquid culture",2591230,2592294,1065,"-"
-0.6803,0.020605,"SCO0073","liquid culture",64605,64925,321,"+"
-0.4245,0.080298,"SCO0425","liquid culture",443293,444243,951,"-"
-0.2379,0.413,"SCO2398","liquid culture",2570030,2570485,456,"+"
-1.2912,0,"SCO4715","liquid culture",5134360,5134545,186,"+"
-0.08,0.741038,"SCO7215","liquid culture",8019248,8019808,561,"-"
-1.0923,1e-06,"SCO3978","liquid culture",4381065,4381949,885,"-"
0.4715,0.048438,"SCO2025","liquid culture",2170384,2171847,1464,"-"
-0.2198,0.23787,"SCO7170","liquid culture",7966015,7968375,2361,"+"
0.4697,0.095943,"SCO6191","liquid culture",6797459,6798373,915,"-"
-0.4477,0.005218,"SCO2329","liquid culture",2499573,2500535,963,"-"
-0.1744,0.394675,"SCO7314","liquid culture",8120541,8121440,900,"+"
0.0717,0.757129,"SCO3443","liquid culture",3804673,3806037,1365,"-"
-0.2442,0.199122,"SCO7394","liquid culture",8205523,8206461,939,"+"
-1.5177,3e-06,"SCO5904","liquid culture",6470494,6470874,381,"-"
-0.3546,0.018771,"SCO5773","liquid culture",6310159,6311784,1626,"-"
-0.9503,1e-06,"SCO7236","liquid culture",8043825,8045489,1665,"-"
1.7555,0,"SCO5796","liquid culture",6334502,6335995,1494,"+"
-1.5525,0,"SCO5366","liquid culture",5836773,5837207,435,"+"
-0.7302,0.001037,"SCO3526","liquid culture",3893187,3894470,1284,"+"
0.7337,0.001128,"SCO6159","liquid culture",6761595,6762416,822,"+"
-0.4648,0.077072,"SCO2031","liquid culture",2181758,2183161,1404,"+"
-1.2725,0,"SCO5701","liquid culture",6212856,6213359,504,"-"
0.0351,0.891518,"SCO7572","liquid culture",8394796,8397792,2997,"+"
1.255,1e-06,"SCO5310","liquid culture",5782374,5782937,564,"-"
-1.2077,1e-06,"SCO6915","liquid culture",7678761,7679582,822,"+"
-0.0338,0.888014,"SCO7121","liquid culture",7911841,7912686,846,"+"
-0.4432,0.001963,"SCO5377","liquid culture",5847229,5847870,642,"-"
-0.9784,1e-06,"SCO0914","liquid culture",959024,960292,1269,"-"
-0.6625,0.000102,"SCO7519","liquid culture",8334151,8334732,582,"-"
0.6974,4.1e-05,"SCO3107","liquid culture",3403521,3404297,777,"-"
2.1739,0,"SCO5490","liquid culture",5975918,5976259,342,"-"
-0.1062,0.652995,"SCO6827","liquid culture",7591479,7598555,7077,"-"
0.2711,0.147804,"SCO6322","liquid culture",6982205,6982623,419,"+"
0.2819,0.307465,"SCO6826","liquid culture",7590412,7591452,1041,"-"
-0.2525,0.208228,"SCO1586","liquid culture",1696361,1696801,441,"-"
0.1217,0.589296,"SCO0565","liquid culture",607851,608909,1059,"-"
0.9823,7e-06,"SCO0208","liquid culture",197221,199917,2697,"+"
-0.7665,6.2e-05,"SCO3535","liquid culture",3902381,3904501,2121,"+"
0.3365,0.044577,"SCO7436","liquid culture",8249413,8250867,1455,"-"
0.0635,0.785593,"SCO6842","liquid culture",7614564,7615928,1365,"-"
-0.9888,0,"SCO1318","liquid culture",1393213,1394196,984,"+"
0.1561,0.445857,"SCO6137","liquid culture",6738552,6739466,915,"-"
-0.6834,0.003157,"SCO5382","liquid culture",5850700,5851449,750,"-"
1.9841,3e-06,"SCO1033","liquid culture",1091857,1092141,285,"-"
-1.0173,1e-06,"SCO0531","liquid culture",562803,564071,1269,"+"
1.6795,0,"SCO3655","liquid culture",4033456,4035120,1665,"-"
0.5917,0.049669,"SCO1704","liquid culture",1823292,1824266,975,"+"
-0.1138,0.612025,"SCO1960","liquid culture",2098289,2098945,657,"+"
0.1451,0.474191,"SCO5762","liquid culture",6301456,6302322,867,"+"
-0.6252,0.000809,"SCO5242","liquid culture",5703529,5703987,459,"+"
-0.7921,0.000671,"SCO3377","liquid culture",3741230,3741604,375,"-"
-0.8881,2e-06,"SCO4052","liquid culture",4444079,4444873,795,"+"
0.6898,0.008434,"SCO7535","liquid culture",8354735,8355298,564,"+"
-0.6545,0.000352,"SCO3503","liquid culture",3870261,3871100,840,"-"
-0.3827,0.125116,"SCO3731","liquid culture",4105340,4105543,204,"+"
0.1699,0.366084,"SCO1011","liquid culture",1066337,1068241,1905,"-"
-0.2282,0.233096,"SCO5822","liquid culture",6371006,6373129,2124,"+"
-0.3515,0.018302,"SCO1320","liquid culture",1395319,1396164,846,"-"
-0.5643,0.000197,"SCO7015","liquid culture",7792823,7797124,4302,"-"
-0.1851,0.3239,"SCO0658","liquid culture",695866,696168,303,"+"
-0.3818,0.016069,"SCO0453","liquid culture",472458,473747,1290,"+"
1.0033,0.000634,"SCO3551","liquid culture",3927094,3927786,693,"-"
-0.4856,0.003432,"SCO2536","liquid culture",2733655,2735154,1500,"-"
0.0216,0.928256,"SCO6747","liquid culture",7504216,7504851,636,"+"
-0.3862,0.083469,"SCO3205","liquid culture",3513024,3513515,492,"+"
1.256,4e-06,"SCO2048","liquid culture",2196793,2197548,756,"-"
0.2766,0.111875,"SCO7766","liquid culture",8595528,8596418,891,"+"
-1.1494,1.4e-05,"SCO1862","liquid culture",1996351,1996833,483,"-"
-0.1065,0.67452,"SCO6270","liquid culture",6895193,6897085,1893,"-"
-0.5,0.001388,"SCO3416","liquid culture",3781328,3782755,1428,"+"
1.3064,0,"SCO6606","liquid culture",7326508,7327410,903,"-"
0.1155,0.602594,"SCO6965","liquid culture",7731590,7731922,333,"-"
-0.1091,0.626031,"SCO4423","liquid culture",4839304,4841703,2400,"+"
0.0672,0.775791,"SCO0418","liquid culture",435456,436103,648,"+"
-0.1018,0.666417,"SCO3760","liquid culture",4133355,4134332,978,"-"
-0.0559,0.815057,"SCO3963","liquid culture",4363348,4364685,1338,"-"
0.4559,0.056697,"SCO6820","liquid culture",7582309,7584639,2331,"-"
-0.7879,0.000134,"SCO7736","liquid culture",8570209,8572470,2262,"-"
-1.6438,0,"SCO3497","liquid culture",3863148,3863927,780,"-"
-0.1571,0.441137,"SCO0369","liquid culture",373998,377255,3258,"-"
0.5218,0.000289,"SCO3621","liquid culture",3999086,4001437,2352,"-"
1.5105,0,"SCO3767","liquid culture",4141437,4141892,456,"+"
-0.0085,0.973612,"SCO4668","liquid culture",5098476,5099108,633,"+"
0.5408,0.005444,"SCO2493","liquid culture",2683469,2684677,1209,"-"
0.222,0.228792,"SCO3892","liquid culture",4282577,4283287,711,"-"
1.2009,4e-06,"SCO4132","liquid culture",4546029,4547051,1023,"+"
-0.9896,0,"SCO4316","liquid culture",4727234,4729279,2046,"-"
-1.1139,2.3e-05,"SCO0146","liquid culture",138618,138761,144,"-"
-0.9913,2e-06,"SCO3906","liquid culture",4303242,4303532,291,"+"
2.6042,0,"SCO7612","liquid culture",8438874,8439524,651,"-"
-0.7389,0.003522,"SCO2413","liquid culture",2586123,2586635,513,"-"
-0.5174,0.030683,"SCO6825","liquid culture",7589632,7590327,696,"-"
-0.4416,0.010674,"SCO2721","liquid culture",2964860,2966458,1599,"-"
-0.6869,0.000545,"SCO6110","liquid culture",6713089,6714015,927,"-"
-0.015,0.961935,"SCO2620","liquid culture",2846000,2847406,1407,"-"
0.0386,0.882737,"SCO2757","liquid culture",3003658,3004599,942,"+"
-0.3423,0.253386,"SCO7203","liquid culture",8005671,8006447,777,"+"
-0.587,0.013023,"SCO6873","liquid culture",7643492,7643734,243,"-"
-0.256,0.227314,"SCO2720","liquid culture",2962767,2964695,1929,"-"
0.4908,0.023836,"SCO4959","liquid culture",5395012,5395269,258,"-"
-0.3548,0.083738,"SCO0336","liquid culture",339521,340630,1110,"-"
-0.2882,0.071861,"SCO5588","liquid culture",6094014,6094631,618,"-"
-0.984,1e-06,"SCO3173","liquid culture",3477824,3478471,648,"+"
-0.1062,0.650242,"SCO1237","liquid culture",1310820,1311104,285,"-"
0.0812,0.734408,"SCO5962","liquid culture",6532428,6533018,591,"-"
0.1222,0.571577,"SCO2814","liquid culture",3072689,3073546,858,"-"
-0.3434,0.116314,"SCO0611","liquid culture",650624,651388,765,"+"
-0.6022,0.002781,"SCO4102","liquid culture",4500505,4501464,960,"-"
-0.1734,0.356652,"SCO3393","liquid culture",3756941,3757396,456,"+"
0.5702,0.001195,"SCO7595","liquid culture",8421086,8422261,1176,"-"
-0.5749,0.002611,"SCO4735","liquid culture",5147937,5148449,513,"+"
0.3295,0.202037,"SCO7800","liquid culture",8621285,8621500,216,"+"
-1.0031,2e-06,"SCO0754","liquid culture",796977,797723,747,"+"
0.0682,0.770026,"SCO7116","liquid culture",7905713,7906456,744,"-"
-0.0856,0.707609,"SCO4670","liquid culture",5100500,5101891,1392,"-"
-0.6947,0.021586,"SCO6305","liquid culture",6964306,6965349,1044,"-"
-0.0149,0.961242,"SCO7145","liquid culture",7940566,7941048,483,"+"
-0.3798,0.024911,"SCO7567","liquid culture",8390389,8391339,951,"+"
-0.5577,0.010483,"SCO5637","liquid culture",6137156,6137551,396,"+"
-0.3118,0.170378,"SCO3735","liquid culture",4108183,4108686,504,"-"
-0.3275,0.128201,"SCO1377","liquid culture",1454293,1454712,420,"+"
-0.3993,0.024279,"SCO3738","liquid culture",4109902,4110471,570,"-"
0.7699,1.9e-05,"SCO1232","liquid culture",1306728,1307405,678,"-"
0.3716,0.031421,"SCO2544","liquid culture",2742662,2743459,798,"+"
-1.1833,0,"SCO2129","liquid culture",2289023,2289457,435,"-"
0.4381,0.056295,"SCO3831","liquid culture",4213272,4214438,1167,"-"
0.4247,0.020587,"SCO3114","liquid culture",3413804,3414700,897,"-"
1.187,0,"SCO6723","liquid culture",7478448,7479494,1047,"+"
-0.0449,0.849077,"SCO4397","liquid culture",4814603,4815394,792,"-"
-0.1501,0.450219,"SCO6585","liquid culture",7295341,7296492,1152,"+"
1.4311,0,"SCO2436","liquid culture",2613846,2615030,1185,"+"
-0.7886,4.4e-05,"SCO1252","liquid culture",1323226,1324239,1014,"+"
0.5971,0.000396,"SCO6733","liquid culture",7487571,7488326,756,"-"
-0.4993,0.030155,"SCO3936","liquid culture",4330663,4332021,1359,"+"
0.2029,0.304124,"SCO1702","liquid culture",1821800,1822441,642,"+"
-1.1699,0,"SCO4729","liquid culture",5142327,5143349,1023,"+"
0.5243,0.025587,"SCO6745","liquid culture",7502204,7503082,879,"-"
-1.4633,0,"SCO0443","liquid culture",462854,463711,858,"+"
0.2245,0.245092,"SCO7530","liquid culture",8348997,8350079,1083,"-"
-0.2639,0.254114,"SCO0707","liquid culture",747191,748387,1197,"-"
0.3036,0.18779,"SCO3252","liquid culture",3604104,3605504,1401,"-"
-1.1811,6.1e-05,"SCO3783","liquid culture",4160042,4160218,177,"+"
0.1047,0.640615,"SCO7320","liquid culture",8127055,8128797,1743,"-"
-0.5088,0.008341,"SCO5358","liquid culture",5828747,5829895,1149,"+"
-0.6538,0.000361,"SCO0807","liquid culture",854455,854775,321,"-"
-0.9172,0.00013,"SCO3454","liquid culture",3814031,3814873,843,"-"
-0.2348,0.166436,"SCO0766","liquid culture",812569,815655,3087,"-"
-0.9886,3e-06,"SCO2425","liquid culture",2599192,2600133,942,"+"
0.9134,0,"SCO1709","liquid culture",1828915,1830306,1392,"-"
-0.5327,0.000514,"SCO2496","liquid culture",2690016,2690456,441,"+"
-0.9163,0.000404,"SCO4513","liquid culture",4935682,4936350,669,"-"
1.4803,0,"SCO5199","liquid culture",5655945,5657408,1464,"-"
-0.3696,0.018008,"SCO7275","liquid culture",8083750,8084169,420,"-"
-0.4766,0.008075,"SCO7578","liquid culture",8402124,8402741,618,"-"
0.2197,0.369374,"SCO0549","liquid culture",589268,589546,279,"-"
0.0644,0.784984,"SCO4099","liquid culture",4499009,4499689,681,"+"
-0.3968,0.044021,"SCO5681","liquid culture",6184140,6185315,1176,"-"
1.3065,2.2e-05,"SCO7623","liquid culture",8448650,8450224,1575,"-"
0.1964,0.310554,"SCO7642","liquid culture",8471165,8471530,366,"+"
0.1566,0.429242,"SCO7357","liquid culture",8169703,8170689,987,"+"
0.3279,0.077709,"SCO6809","liquid culture",7571107,7572336,1230,"-"
0.2919,0.234344,"SCO7403","liquid culture",8216238,8216423,186,"+"
0.4213,0.009269,"SCO1639","liquid culture",1752701,1753708,1008,"-"
-0.5119,0.013118,"SCO1194","liquid culture",1265841,1267331,1491,"+"
-0.5586,0.003431,"SCO0564","liquid culture",606677,607837,1161,"-"
-0.46,0.018278,"SCO0712","liquid culture",753318,756143,2826,"-"
0.1712,0.504687,"SCO3485","liquid culture",3849177,3850226,1050,"-"
0.2609,0.371637,"SCO0963","liquid culture",1016501,1017394,894,"-"
-0.602,0.000568,"SCO4098","liquid culture",4498219,4498869,651,"-"
0.5142,0.003151,"SCO3866","liquid culture",4250514,4251389,876,"-"
-0.2705,0.189657,"SCO0613","liquid culture",651602,652864,1263,"+"
-0.3406,0.065101,"SCO0083","liquid culture",69799,70647,849,"+"
-0.3447,0.092927,"SCO6366","liquid culture",7028165,7028854,690,"-"
-0.8038,0.000196,"SCO3742","liquid culture",4113665,4114393,729,"+"
-0.1629,0.477311,"SCO2433","liquid culture",2610757,2611698,942,"-"
-0.2748,0.171773,"SCO6896","liquid culture",7660990,7662225,1236,"+"
-0.6915,0.000333,"SCO5429","liquid culture",5900696,5901637,942,"-"
-2.2562,0,"SCO0259","liquid culture",248677,249702,1026,"+"
-0.7295,1.6e-05,"SCO2554","liquid culture",2753870,2755006,1137,"-"
0.6723,0.000781,"SCO2100","liquid culture",2257287,2257916,630,"+"
0.0323,0.892637,"SCO1536","liquid culture",1642555,1645023,2469,"-"
-1.8068,0,"SCO2460","liquid culture",2646222,2646650,429,"-"
0.1604,0.427311,"SCO7010","liquid culture",7786480,7788084,1605,"-"
-0.8431,2.2e-05,"SCO4456","liquid culture",4877431,4879017,1587,"+"
1.0638,8e-06,"SCO2309","liquid culture",2478172,2479641,1470,"-"
-0.3089,0.079549,"SCO1316","liquid culture",1391967,1392602,636,"-"
-0.5968,0.0022,"SCO0836","liquid culture",883920,884921,1002,"-"
0.0956,0.671984,"SCO5284","liquid culture",5755921,5756628,708,"-"
-0.0127,0.965165,"SCO6300","liquid culture",6959963,6961810,1848,"-"
-0.6303,0.000128,"SCO3510","liquid culture",3878757,3879503,747,"-"
0.225,0.299861,"SCO2542","liquid culture",2740287,2741582,1296,"-"
-0.5287,0.017062,"SCO7235","liquid culture",8043439,8043849,411,"+"
-1.0309,0.00209,"SCO5344","liquid culture",5813822,5814145,324,"+"
-0.2968,0.221242,"SCO4505","liquid culture",4925750,4925953,204,"-"
-1.3041,4e-06,"SCO3599","liquid culture",3975852,3976808,957,"-"
-1.1997,1e-06,"SCO4536","liquid culture",4954999,4955643,645,"+"
-0.3063,0.161398,"SCO0894","liquid culture",939627,941063,1437,"+"
-0.3925,0.006558,"SCO1778","liquid culture",1901295,1902941,1647,"+"
-0.5403,0.040264,"SCO6190","liquid culture",6796513,6797409,897,"+"
-0.8004,0.00154,"SCO7167","liquid culture",7963370,7964647,1278,"-"
-0.9671,5.8e-05,"SCO5469","liquid culture",5954478,5955845,1368,"-"
-0.5728,0.001046,"SCO7543","liquid culture",8365616,8366890,1275,"+"
0.4993,0.007177,"SCO1098","liquid culture",1155717,1156292,576,"-"
-0.5509,0.000244,"SCO3093","liquid culture",3388379,3389320,942,"-"
-0.2276,0.16354,"SCO0757","liquid culture",802797,803807,1011,"+"
-0.2997,0.108875,"SCO1103","liquid culture",1160876,1161565,690,"+"
-0.7797,3.3e-05,"SCO2691","liquid culture",2935475,2936632,1158,"+"
-0.11,0.624989,"SCO7637","liquid culture",8464939,8466399,1461,"-"
-0.3011,0.123263,"SCO0896","liquid culture",942453,942878,426,"-"
-0.335,0.064731,"SCO1268","liquid culture",1338248,1339366,1119,"-"
-0.4018,0.004333,"SCO3209","liquid culture",3517633,3519207,1575,"+"
2.2033,0,"SCO7631","liquid culture",8457868,8459757,1890,"-"
1.021,4e-04,"SCO6813","liquid culture",7574897,7575238,342,"+"
-0.21,0.215497,"SCO1830","liquid culture",1960424,1962211,1788,"+"
-0.0946,0.675643,"SCO6707","liquid culture",7458874,7459941,1068,"-"
-1.6491,0,"SCO5900","liquid culture",6465627,6467702,2076,"+"
0.1452,0.493778,"SCO5491","liquid culture",5976342,5976890,549,"+"
0.6988,0.005175,"SCO7193","liquid culture",7996511,7997461,951,"+"
3.7065,0,"SCO4225","liquid culture",4631073,4631465,393,"-"
-0.6692,5.6e-05,"SCO2444","liquid culture",2622576,2624033,1458,"+"
-0.9019,2e-06,"SCO3018","liquid culture",3294226,3295215,990,"+"
0.6556,6.4e-05,"SCO7298","liquid culture",8105397,8107073,1677,"-"
0.3773,0.027556,"SCO7423","liquid culture",8238152,8238862,711,"-"
-1.7924,0,"SCO2459","liquid culture",2645538,2646071,534,"+"
-0.4056,0.083237,"SCO6327","liquid culture",6987274,6987738,465,"-"
-0.0472,0.861679,"SCO6753","liquid culture",7510408,7511160,753,"+"
0.1714,0.363058,"SCO0676","liquid culture",717303,719897,2595,"+"
-0.7411,5.7e-05,"SCO4007","liquid culture",4400250,4401542,1293,"-"
-0.2665,0.08877,"SCO7630","liquid culture",8457210,8457884,675,"+"
2.1205,0,"SCO2550","liquid culture",2750935,2751450,516,"-"
-3.0108,5e-06,"SCO7091","liquid culture",7879864,7880010,147,"-"
0.0047,0.984646,"SCO3409","liquid culture",3775145,3775636,492,"+"
-0.6131,0.001101,"SCO7518","liquid culture",8333583,8334140,558,"-"
-0.13,0.551045,"SCO7375","liquid culture",8188898,8189692,795,"+"
-0.4007,0.014578,"SCO0267","liquid culture",255311,256087,777,"+"
-0.0885,0.723027,"SCO4932","liquid culture",5365963,5367501,1539,"+"
0.3225,0.030613,"SCO3612","liquid culture",3990912,3992276,1365,"-"
-1.516,0,"SCO4111","liquid culture",4510885,4511700,816,"-"
0.4286,0.013471,"SCO0060","liquid culture",46064,46201,138,"+"
-0.5229,0.186846,"SCO3994","liquid culture",4389919,4390131,213,"+"
-0.3723,0.070578,"SCO6956","liquid culture",7723478,7725217,1740,"+"
-0.302,0.039446,"SCO4503","liquid culture",4923031,4924959,1929,"+"
0.2072,0.251957,"SCO5580","liquid culture",6081738,6082976,1239,"+"
-0.9471,2e-06,"SCO1555","liquid culture",1666903,1668129,1227,"-"
-1.2584,0,"SCO4168","liquid culture",4583238,4584065,828,"+"
0.1645,0.489,"SCO0516","liquid culture",550455,551633,1179,"+"
-0.1935,0.239961,"SCO4426","liquid culture",4842787,4845768,2982,"-"
0.4257,0.032012,"SCO1255","liquid culture",1326802,1327284,483,"+"
-0.2426,0.158496,"SCO1059","liquid culture",1116447,1117826,1380,"+"
0.9781,9e-06,"SCO7624","liquid culture",8450331,8451026,696,"-"
0.3345,0.032328,"SCO2600","liquid culture",2818657,2819433,777,"-"
-0.5531,0.000292,"SCO1597","liquid culture",1709299,1710147,849,"-"
0.7286,0.000558,"SCO6718","liquid culture",7471875,7472651,777,"-"
-1.0384,6.1e-05,"SCO2609","liquid culture",2833015,2833686,672,"-"
-0.5706,0.005945,"SCO5872","liquid culture",6428862,6429545,684,"+"
-0.2268,0.196861,"SCO6666","liquid culture",7405534,7407651,2118,"-"
-0.4745,0.001489,"SCO5246","liquid culture",5706075,5707667,1593,"+"
0.0303,0.901471,"SCO1049","liquid culture",1105031,1106194,1164,"-"
-0.3191,0.027696,"SCO4725","liquid culture",5140751,5140972,222,"+"
0.4361,0.01083,"SCO4304","liquid culture",4718317,4719066,750,"+"
1.0442,1e-05,"SCO6729","liquid culture",7481508,7482698,1191,"-"
0.5534,0.005118,"SCO5151","liquid culture",5598255,5599001,747,"+"
0.5313,0.004341,"SCO6047","liquid culture",6639597,6640451,855,"+"
-0.2309,0.256182,"SCO1682","liquid culture",1801378,1802454,1077,"+"
-0.3104,0.033367,"SCO0667","liquid culture",706448,707329,882,"-"
-1.1578,1e-06,"SCO2052","liquid culture",2199539,2200132,594,"-"
-0.0453,0.850422,"SCO0908","liquid culture",952991,953455,465,"+"
-0.1387,0.523615,"SCO6664","liquid culture",7402846,7403751,906,"+"
1.3479,1.5e-05,"SCO5272","liquid culture",5734620,5734814,195,"+"
0.9716,3e-06,"SCO7249","liquid culture",8057947,8058444,498,"+"
0.3072,0.238324,"SCO6633","liquid culture",7360499,7362409,1911,"+"
-0.6419,0.001875,"SCO5805","liquid culture",6347744,6350647,2904,"+"
0.8751,2.2e-05,"SCO1722","liquid culture",1842282,1843034,753,"-"
2.5237,0,"SCO1196","liquid culture",1267630,1268493,864,"-"
-0.7955,5e-06,"SCO3154","liquid culture",3454768,3456543,1776,"+"
-0.7744,4.4e-05,"SCO2277","liquid culture",2446970,2447842,873,"+"
-0.704,6.7e-05,"SCO3178","liquid culture",3483413,3484063,651,"-"
0.321,0.046907,"SCO7171","liquid culture",7968419,7968850,432,"-"
0.0117,0.960979,"SCO7118","liquid culture",7907864,7908628,765,"-"
-0.1257,0.557392,"SCO7640","liquid culture",8468827,8469810,984,"-"
-1.5437,0,"SCO2090","liquid culture",2244997,2246961,1965,"-"
-0.452,0.004387,"SCO7709","liquid culture",8545444,8545872,429,"+"
0.8739,0.000148,"SCO1394","liquid culture",1479786,1482173,2388,"+"
-0.3266,0.09082,"SCO1080","liquid culture",1140293,1141591,1299,"-"
0.5052,0.011249,"SCO5094","liquid culture",5535661,5536287,627,"-"
0.3278,0.02477,"SCO6337","liquid culture",6996448,6997380,933,"-"
0.1613,0.445049,"SCO6656","liquid culture",7391232,7392461,1230,"-"
0.8687,2.3e-05,"SCO2200","liquid culture",2366795,2367634,840,"-"
0.2669,0.160976,"SCO6362","liquid culture",7022727,7024016,1290,"+"
-2.1463,0,"SCO7456","liquid culture",8271037,8271528,492,"-"
0.8028,0.005682,"SCO6818","liquid culture",7579400,7580935,1536,"-"
-1.1762,0,"SCO3192","liquid culture",3497381,3498703,1323,"+"
-0.7386,4e-04,"SCO6309","liquid culture",6968600,6969571,972,"+"
-0.1438,0.493738,"SCO0407","liquid culture",427610,428614,1005,"+"
0.9447,3e-06,"SCO4001","liquid culture",4395671,4396546,876,"-"
-0.2089,0.236741,"SCO1547","liquid culture",1655113,1656174,1062,"-"
-0.7774,3e-05,"SCO0713","liquid culture",756314,757246,933,"-"
-0.2617,0.152287,"SCO3654","liquid culture",4032042,4033367,1326,"-"
-0.8928,1e-06,"SCO4331","liquid culture",4742777,4745905,3129,"+"
0.2205,0.197617,"SCO7433","liquid culture",8246125,8247111,987,"+"
-0.6028,4.8e-05,"SCO1324","liquid culture",1399280,1400449,1170,"-"
0.6743,0.000957,"SCO1398","liquid culture",NA,NA,NA,NA
-1.284,1.7e-05,"SCO5623","liquid culture",6122525,6123205,681,"-"
-0.6551,0.001243,"SCO6181","liquid culture",6786733,6787767,1035,"+"
-1.1325,1e-06,"SCO3672","liquid culture",4052789,4054024,1236,"-"
0.7401,0.000449,"SCO5060","liquid culture",5499806,5500408,603,"-"
0.7391,0.00016,"SCO3545","liquid culture",3918572,3920089,1518,"-"
-0.3297,0.035779,"SCO0356","liquid culture",360674,361465,792,"+"
0.2245,0.170174,"SCO7359","liquid culture",8172314,8173069,756,"-"
-1.5952,0,"SCO4942","liquid culture",5375964,5376644,681,"-"
-0.0908,0.721394,"SCO6719","liquid culture",7472768,7475026,2259,"-"
-1.042,0.00136,"SCO2108","liquid culture",2266030,2266230,201,"+"
