"gene","logFC","FDR","add_variable","start","end","width","strand"
"SCO5983",-0.022280021,0.921516203,"delgbn24h",6558619,6560310,1692,"-"
"SCO5984",-0.235239607,0.222513538,"delgbn24h",6560442,6561617,1176,"+"
"SCO5985",-0.157289666,0.32462688,"delgbn24h",6561614,6562012,399,"+"
"SCO5986",-0.168554749,0.264845341,"delgbn24h",6562040,6562867,828,"+"
"SCO5987",-0.01370727,0.965759264,"delgbn24h",6562884,6563093,210,"-"
"SCO5988",-0.00786935,0.97067729,"delgbn24h",6563335,6563778,444,"+"
"SCO5989",-0.0301609,0.850945799,"delgbn24h",6563897,6564781,885,"-"
"SCO5990",-0.093642832,0.616476339,"delgbn24h",6564792,6565028,237,"-"
"SCO5991",-0.011424025,0.96852158,"delgbn24h",6565263,6565649,387,"+"
"SCO5992",0.044972425,0.799698742,"delgbn24h",6565701,6566195,495,"+"
"SCO5993",0.021389622,0.897131617,"delgbn24h",6566262,6567074,813,"+"
"SCO5994",0.023532974,1,"delgbn24h",6567071,6567973,903,"+"
"SCO5995",-0.018920429,0.922972388,"delgbn24h",6568057,6568779,723,"+"
"SCO5996",-0.024270285,0.869930038,"delgbn24h",6568779,6571592,2814,"+"
"SCO5997",-0.029882828,0.898833735,"delgbn24h",6572032,6572550,519,"+"
"SCO5998",0.069721807,0.58088111,"delgbn24h",6573186,6574715,1530,"-"
"SCO5999",-0.143949114,0.058893961,"delgbn24h",6575305,6578019,2715,"+"
"SCO6000",0.066925271,0.657491108,"delgbn24h",6578236,6578481,246,"+"
"SCO6001",0.073796348,0.677897116,"delgbn24h",6578520,6578807,288,"+"
"SCO6002",0.257354966,0.073579867,"delgbn24h",6578743,6579171,429,"-"
"SCO6003",0.20541156,0.07468801,"delgbn24h",6579213,6580073,861,"-"
"SCO6004",-0.195778305,0.214324415,"delgbn24h",6580256,6584062,3807,"-"
"SCO6005",0.723364364,3.04e-09,"delgbn24h",6584624,6586033,1410,"+"
"SCO6006",0.614827216,0.000343044,"delgbn24h",6586041,6587102,1062,"+"
"SCO6007",0.512862547,0.002338529,"delgbn24h",6587099,6588007,909,"+"
"SCO6008",0.035157197,0.887465828,"delgbn24h",6588242,6589453,1212,"+"
"SCO6009",-0.201192046,0.244760828,"delgbn24h",6589575,6590690,1116,"+"
"SCO6010",-0.217435731,0.244164016,"delgbn24h",6590859,6591641,783,"+"
"SCO6011",-0.254802671,0.184363689,"delgbn24h",6591638,6592930,1293,"+"
"SCO6012",0.071923923,0.657957025,"delgbn24h",6593034,6594557,1524,"-"
"SCO6013",-0.104193635,0.282054567,"delgbn24h",6594926,6596854,1929,"+"
"SCO6014",0.117456725,0.434456052,"delgbn24h",6597042,6598553,1512,"+"
"SCO6015",0.074889443,0.715485251,"delgbn24h",6598656,6599033,378,"-"
"SCO6018",0.026559138,0.919744041,"delgbn24h",6600024,6601049,1026,"+"
"SCO6019",-0.077457736,0.699980427,"delgbn24h",6601234,6602355,1122,"+"
"SCO6020",0.005959785,0.987082672,"delgbn24h",6602452,6603552,1101,"-"
"SCO6021",0.146224736,0.427068183,"delgbn24h",6603996,6605621,1626,"+"
"SCO6022",0.26467139,0.194427638,"delgbn24h",6605637,6607259,1623,"+"
"SCO6023",0.102208479,0.559285764,"delgbn24h",6607256,6609016,1761,"+"
"SCO6024",0.052235984,0.796117319,"delgbn24h",6609013,6611106,2094,"+"
"SCO6025",0.096590962,0.586568664,"delgbn24h",6611138,6613105,1968,"+"
"SCO6026",0.050019233,0.782234155,"delgbn24h",6613171,6615300,2130,"-"
"SCO6027",0.11715357,0.348438935,"delgbn24h",6615297,6616514,1218,"-"
"SCO6028",0.02185269,0.917098205,"delgbn24h",6616708,6617892,1185,"-"
"SCO6029",0.15221384,0.404632974,"delgbn24h",6618177,6618839,663,"-"
"SCO6030",-0.066581955,0.716509123,"delgbn24h",6619133,6619849,717,"-"
"SCO6031",-0.01860268,0.944230766,"delgbn24h",6620001,6621068,1068,"+"
"SCO6032",0.198626016,0.194524783,"delgbn24h",6621097,6622617,1521,"-"
"SCO6033",0.083078202,0.685571536,"delgbn24h",6623033,6624127,1095,"+"
"SCO6034",0.383710827,0.04992037,"delgbn24h",6624109,6625437,1329,"+"
"SCO6035",0.153089531,0.413223497,"delgbn24h",6625434,6626642,1209,"+"
"SCO6036",0.054408339,0.787610753,"delgbn24h",6626635,6627204,570,"+"
"SCO6037",0.032099848,0.896154546,"delgbn24h",6627211,6628443,1233,"+"
"SCO6038",0.203134993,0.180417755,"delgbn24h",6628480,6629631,1152,"-"
"SCO6039",0.337078141,0.003604273,"delgbn24h",6629805,6631202,1398,"-"
"SCO6040",0.448935466,0.049038976,"delgbn24h",6631230,6632213,984,"-"
"SCO6041",-0.083208337,0.59706429,"delgbn24h",6632494,6633978,1485,"+"
"SCO6042",-0.014258484,0.95825615,"delgbn24h",6633983,6634714,732,"+"
"SCO6043",-0.092271631,0.575497385,"delgbn24h",6634715,6636346,1632,"-"
"SCO6044",-0.236936232,0.017721227,"delgbn24h",6636431,6637228,798,"-"
"SCO6045",-0.147161215,0.433728962,"delgbn24h",6637343,6638659,1317,"-"
"SCO6046",-0.102357523,0.5947626,"delgbn24h",6638803,6639552,750,"-"
"SCO6047",0.019327259,0.947366465,"delgbn24h",6639597,6640451,855,"+"
"SCO6048",0.027923792,0.914751651,"delgbn24h",6640448,6641122,675,"+"
"SCO6049",0.020720434,0.940595386,"delgbn24h",6641114,6641344,231,"-"
"SCO6050",0.027192143,0.813769602,"delgbn24h",6641362,6642231,870,"-"
"SCO6051",-0.150754442,0.435082574,"delgbn24h",6642322,6643863,1542,"-"
"SCO6052",-0.152317768,0.391124006,"delgbn24h",6643915,6645312,1398,"-"
"SCO6053",-0.014423204,0.965771027,"delgbn24h",6645402,6646190,789,"-"
"SCO6054",0.366312948,0.077356709,"delgbn24h",6646291,6647781,1491,"-"
"SCO6055",0.147287861,0.355718394,"delgbn24h",6647790,6648371,582,"-"
"SCO6056",0.25887308,0.194524783,"delgbn24h",6648450,6648851,402,"-"
"SCO6057",-0.082756809,0.668892395,"delgbn24h",6649041,6650093,1053,"-"
"SCO6058",0.026815219,0.919744041,"delgbn24h",6650674,6651471,798,"+"
"SCO6059",0.024586677,0.919744041,"delgbn24h",6651616,6652161,546,"+"
"SCO6060",-0.033400346,0.861775028,"delgbn24h",6652235,6653623,1389,"+"
"SCO6061",-0.034476632,0.884065875,"delgbn24h",6653637,6654044,408,"+"
"SCO6062",-0.033026352,0.88337401,"delgbn24h",6654298,6655458,1161,"+"
"SCO6063",-0.015633465,0.958717897,"delgbn24h",6655455,6656168,714,"+"
"SCO6064",-0.002327248,0.991521715,"delgbn24h",6656165,6656830,666,"+"
"SCO6065",0.001903337,0.992753371,"delgbn24h",6656904,6657866,963,"+"
"SCO6066",-0.078284493,0.692757549,"delgbn24h",6657898,6658443,546,"-"
"SCO6067",-0.027709976,0.916504914,"delgbn24h",6658496,6658855,360,"-"
"SCO6068",-0.14915251,0.415618047,"delgbn24h",6658857,6659276,420,"-"
"SCO6069",-0.042156661,0.842893011,"delgbn24h",6659273,6661906,2634,"-"
"SCO6070",-0.165441679,0.232602214,"delgbn24h",6661975,6662988,1014,"-"
"SCO6071",-0.007181242,0.983021713,"delgbn24h",6663344,6663991,648,"+"
"SCO6072",-0.07813706,0.699828634,"delgbn24h",6664069,6666069,2001,"+"
"SCO6073",0.018500096,0.941242245,"delgbn24h",6666219,6668399,2181,"+"
"SCO6074",-0.042389788,0.843160166,"delgbn24h",6668513,6669124,612,"+"
"SCO6075",-0.013811323,0.967785954,"delgbn24h",6669117,6669938,822,"-"
"SCO6076",-0.001208417,0.994143924,"delgbn24h",6670057,6671187,1131,"+"
"SCO6077",0.011403246,0.96852158,"delgbn24h",6671184,6672188,1005,"+"
"SCO6078",0.117320066,0.303654948,"delgbn24h",6672199,6673944,1746,"-"
"SCO6079",-0.173497018,0.124634205,"delgbn24h",6674122,6674673,552,"+"
"SCO6080",-0.183793041,0.251643744,"delgbn24h",6675067,6676224,1158,"+"
"SCO6081",-0.026400373,0.915766218,"delgbn24h",6676232,6678649,2418,"-"
"SCO6082",-0.012957015,0.957020415,"delgbn24h",6678718,6680826,2109,"-"
"SCO6083",1.010503553,8.03e-25,"delgbn24h",6681383,6682630,1248,"+"
"SCO6084",0.64312592,1.23e-08,"delgbn24h",6682745,6683479,735,"+"
"SCO6085",0.080771924,0.65365813,"delgbn24h",6683518,6684384,867,"-"
"SCO6086",0.208398248,0.274659602,"delgbn24h",6684546,6685493,948,"+"
"SCO6087",0.062326769,0.767556247,"delgbn24h",6685490,6686323,834,"+"
"SCO6088",0.14025459,0.456345764,"delgbn24h",6686323,6687615,1293,"+"
"SCO6089",0.213359912,0.137724384,"delgbn24h",6687926,6688708,783,"+"
"SCO6090",0.310928898,0.060488789,"delgbn24h",6688705,6689961,1257,"+"
"SCO6091",0.094750387,0.63501682,"delgbn24h",6690041,6692311,2271,"-"
"SCO6092",-0.084277707,0.65279965,"delgbn24h",6692660,6693208,549,"+"
"SCO6093",-0.196570942,0.180128576,"delgbn24h",6693222,6693968,747,"-"
"SCO6094",-0.313841754,0.022263012,"delgbn24h",6693977,6694888,912,"-"
"SCO6095",-0.221828041,0.132628623,"delgbn24h",6694875,6695669,795,"-"
"SCO6096",-0.149980272,0.269058962,"delgbn24h",6695702,6696805,1104,"-"
"SCO6097",-0.234461349,0.044957978,"delgbn24h",6697066,6698421,1356,"-"
"SCO6098",-0.210164577,0.100915695,"delgbn24h",6698424,6699362,939,"-"
"SCO6099",-0.23146047,0.084777524,"delgbn24h",6699359,6699895,537,"-"
"SCO6100",-0.246178945,0.016034568,"delgbn24h",6700005,6700715,711,"-"
"SCO6101",-0.258906704,0.045448789,"delgbn24h",6700712,6700891,180,"-"
"SCO6102",-0.232568559,0.027558971,"delgbn24h",6700888,6702585,1698,"-"
"SCO6103",-0.05908739,0.717019642,"delgbn24h",6702969,6703541,573,"-"
"SCO6104",-0.004039502,0.991513796,"delgbn24h",6703618,6704931,1314,"-"
"SCO6105",0.048569345,0.812124975,"delgbn24h",6705148,6706437,1290,"-"
"SCO6106",0.147980297,0.23989289,"delgbn24h",6706680,6708353,1674,"-"
"SCO6107",-0.00065527,0.99692193,"delgbn24h",6708580,6709614,1035,"+"
"SCO6108",0.215522473,0.19256127,"delgbn24h",6709909,6711471,1563,"+"
"SCO6109",0.288047067,0.101191323,"delgbn24h",6711507,6713030,1524,"+"
"SCO6110",0.229918632,0.19147878,"delgbn24h",6713089,6714015,927,"-"
"SCO6111",-0.038906312,0.869715027,"delgbn24h",6714012,6715769,1758,"-"
"SCO6112",-0.142211516,0.425120737,"delgbn24h",6715766,6716659,894,"-"
"SCO6113",0.064477676,0.723272778,"delgbn24h",6716656,6717615,960,"-"
"SCO6114",-0.075729566,0.717344012,"delgbn24h",6717677,6719485,1809,"-"
"SCO6115",-0.010047461,0.974308918,"delgbn24h",6719695,6720918,1224,"+"
"SCO6116",-0.141981627,0.448985571,"delgbn24h",6720968,6722509,1542,"+"
"SCO6117",-0.069282695,0.725289831,"delgbn24h",6722506,6723300,795,"+"
"SCO6118",-0.177442573,0.306136217,"delgbn24h",6723322,6724296,975,"+"
"SCO6119",0.094182494,0.621876481,"delgbn24h",6724307,6724990,684,"+"
"SCO6120",0.135734423,0.465618211,"delgbn24h",6725136,6725624,489,"+"
"SCO6121",0.078337827,0.708106175,"delgbn24h",6725692,6726270,579,"-"
"SCO6122",-0.009365482,0.967785954,"delgbn24h",6726363,6726809,447,"+"
"SCO6123",-0.00620072,0.977333698,"delgbn24h",6726883,6727275,393,"-"
"SCO6124",0.420817888,0.04860774,"delgbn24h",6727703,6728032,330,"+"
"SCO6125",0.106759099,0.584062242,"delgbn24h",6728081,6728752,672,"+"
"SCO6126",0.001457413,0.994802123,"delgbn24h",6728774,6729088,315,"-"
"SCO6127",-0.017259905,0.941310077,"delgbn24h",6729231,6730739,1509,"+"
"SCO6128",0.02376887,0.923016503,"delgbn24h",6730693,6730926,234,"-"
"SCO6129",0.05519326,0.780988461,"delgbn24h",6730923,6731834,912,"-"
"SCO6130",-0.248498505,0.20164718,"delgbn24h",6731917,6732270,354,"+"
"SCO6131",-0.168453507,0.191117124,"delgbn24h",6732336,6733691,1356,"-"
"SCO6132",-0.015947602,0.954258742,"delgbn24h",6733884,6734480,597,"-"
"SCO6133",-0.033423219,0.892994303,"delgbn24h",6734477,6735859,1383,"-"
"SCO6134",0.029171434,0.911184243,"delgbn24h",6735856,6736854,999,"-"
"SCO6135",0.151511163,0.363579632,"delgbn24h",6736851,6737525,675,"-"
"SCO6136",0.063073223,0.774925687,"delgbn24h",6737522,6738541,1020,"-"
"SCO6137",-0.188781241,0.299567565,"delgbn24h",6738552,6739466,915,"-"
"SCO6138",0.007943334,0.972595405,"delgbn24h",6739546,6740469,924,"+"
"SCO6139",0.048196344,0.78025069,"delgbn24h",6740466,6741632,1167,"+"
"SCO6140",-0.027117053,0.910044102,"delgbn24h",6741629,6742288,660,"+"
"SCO6141",0.017806159,0.952364199,"delgbn24h",6742307,6742909,603,"-"
"SCO6142",0.03838544,0.801045442,"delgbn24h",6742955,6743446,492,"+"
"SCO6143",-0.099441407,0.507605358,"delgbn24h",6743443,6744198,756,"+"
"SCO6144",0.118195809,0.510113184,"delgbn24h",6744201,6744770,570,"-"
"SCO6145",0.040882481,0.839681119,"delgbn24h",6744922,6746640,1719,"+"
"SCO6146",-0.126912538,0.505821207,"delgbn24h",6746637,6747161,525,"+"
"SCO6147",-0.176761957,0.247524998,"delgbn24h",6747192,6748448,1257,"-"
"SCO6148",0.013224093,0.961314562,"delgbn24h",6748555,6749883,1329,"+"
"SCO6149",0.157400488,0.167897907,"delgbn24h",6750131,6751231,1101,"+"
"SCO6150",0.581157088,0.060853862,"delgbn24h",6751304,6752737,1434,"+"
"SCO6151",0.149512288,0.412806626,"delgbn24h",6752734,6753294,561,"+"
"SCO6152",0.254451605,0.139367426,"delgbn24h",6753257,6753739,483,"-"
"SCO6153",-0.036476046,0.870832885,"delgbn24h",6753801,6754784,984,"-"
"SCO6154",0.063865291,0.718702165,"delgbn24h",6755707,6756879,1173,"+"
"SCO6155",-0.035250333,0.844879855,"delgbn24h",6756908,6758650,1743,"+"
"SCO6156",-0.207768494,0.119260924,"delgbn24h",6758794,6759201,408,"+"
"SCO6157",-0.469565097,4.54e-15,"delgbn24h",6759259,6760323,1065,"-"
"SCO6158",0.134362626,0.396610867,"delgbn24h",6760581,6761426,846,"-"
"SCO6159",-0.10967249,0.524731666,"delgbn24h",6761595,6762416,822,"+"
"SCO6160",0.044746973,0.841932888,"delgbn24h",6762662,6765049,2388,"-"
"SCO6161",0.036530701,0.817856774,"delgbn24h",6765129,6765518,390,"-"
"SCO6162",0.287619203,0.134825659,"delgbn24h",6765623,6766405,783,"-"
"SCO6163",-0.058482604,0.787610753,"delgbn24h",6766414,6767325,912,"-"
"SCO6164",-0.033269051,1,"delgbn24h",6767705,6768031,327,"+"
"SCO6165",0.067400786,1,"delgbn24h",6768101,6768478,378,"+"
"SCO6166",-0.050432023,0.773023069,"delgbn24h",6768481,6769299,819,"+"
"SCO6167",-0.059065457,0.777863538,"delgbn24h",6769408,6770778,1371,"+"
"SCO6168",-0.38102683,0.104898562,"delgbn24h",6770801,6771589,789,"-"
"SCO6169",0.068200388,0.718089496,"delgbn24h",6771761,6773470,1710,"-"
"SCO6170",0.03095743,0.85623815,"delgbn24h",6773787,6774677,891,"+"
"SCO6171",-0.064853457,0.48177916,"delgbn24h",6774677,6775267,591,"+"
"SCO6172",0.207666107,0.274807294,"delgbn24h",6775270,6777756,2487,"+"
"SCO6173",0.227857371,0.23196973,"delgbn24h",6777908,6779365,1458,"+"
"SCO6174",-0.072956925,0.584616335,"delgbn24h",6779417,6780604,1188,"+"
"SCO6175",-0.03058362,0.900003497,"delgbn24h",6780609,6781592,984,"+"
"SCO6176",-0.153712224,0.349976029,"delgbn24h",6781601,6782431,831,"-"
"SCO6177",-0.195668593,0.244164016,"delgbn24h",6782568,6783008,441,"-"
"SCO6178",-0.0624579,0.758318142,"delgbn24h",6783029,6783811,783,"-"
"SCO6179",-0.016443575,0.955832996,"delgbn24h",6783983,6784975,993,"+"
"SCO6180",0.093500325,0.630187568,"delgbn24h",6785096,6786736,1641,"+"
"SCO6181",-0.007726085,0.943345408,"delgbn24h",6786733,6787767,1035,"+"
"SCO6182",-0.046031082,0.579822879,"delgbn24h",6787764,6788621,858,"+"
"SCO6183",0.104632841,0.344718943,"delgbn24h",6788618,6789625,1008,"+"
"SCO6184",-0.100882145,0.575497385,"delgbn24h",6789622,6790572,951,"+"
"SCO6185",0.105474948,0.50114332,"delgbn24h",6790569,6791789,1221,"+"
"SCO6186",-0.060346098,0.685571536,"delgbn24h",6791786,6792481,696,"+"
"SCO6187",0.038190776,0.865334288,"delgbn24h",6792478,6793869,1392,"+"
"SCO6188",0.001585214,0.991270352,"delgbn24h",6793866,6795566,1701,"+"
"SCO6189",0.007474068,0.96371018,"delgbn24h",6795563,6796516,954,"+"
"SCO6190",0.041317453,0.792387885,"delgbn24h",6796513,6797409,897,"+"
"SCO6191",0.113268516,0.237477697,"delgbn24h",6797459,6798373,915,"-"
"SCO6192",-0.063356056,0.772378882,"delgbn24h",6798812,6799918,1107,"+"
"SCO6193",-0.055235377,0.760683651,"delgbn24h",6800241,6803072,2832,"-"
"SCO6194",0.052701022,0.800166725,"delgbn24h",6803232,6804071,840,"-"
"SCO6195",-0.162222522,0.357525622,"delgbn24h",6804196,6805872,1677,"+"
"SCO6196",0.665223708,1e-08,"delgbn24h",6805869,6807494,1626,"+"
"SCO6197",0.832099629,8.58e-11,"delgbn24h",6807680,6808222,543,"-"
"SCO6198",0.180776653,0.316778014,"delgbn24h",6808799,6812269,3471,"+"
"SCO6199",0.351491862,0.031285378,"delgbn24h",6812417,6814648,2232,"+"
"SCO6200",0.072256082,0.727027933,"delgbn24h",6814657,6815349,693,"-"
"SCO6201",1.075740044,2.35e-12,"delgbn24h",6815497,6817281,1785,"+"
"SCO6202",-0.007869264,0.980338305,"delgbn24h",6817450,6818094,645,"-"
"SCO6203",0.120562737,0.314922636,"delgbn24h",6818162,6818500,339,"-"
"SCO6204",1.520834106,5.9e-12,"delgbn24h",6818863,6820326,1464,"-"
"SCO6205",1.210292844,1.13e-09,"delgbn24h",6820531,6821421,891,"-"
"SCO6206",1.20181316,4.09e-12,"delgbn24h",6821469,6822308,840,"-"
"SCO6207",-0.237450377,0.11460998,"delgbn24h",6822463,6822717,255,"+"
"SCO6208",-0.16658986,0.227157848,"delgbn24h",6822714,6823082,369,"+"
"SCO6209",0.042875191,0.822506441,"delgbn24h",6823172,6823747,576,"+"
"SCO6210",0.118366169,0.500875271,"delgbn24h",6823744,6824145,402,"+"
"SCO6211",0.041997152,0.850566361,"delgbn24h",6824153,6825088,936,"+"
"SCO6212",0.213951004,0.262634208,"delgbn24h",6825153,6826568,1416,"+"
"SCO6213",-0.012621074,0.968380698,"delgbn24h",6826642,6828039,1398,"+"
"SCO6214",0.111018909,0.571293676,"delgbn24h",6828295,6829683,1389,"+"
"SCO6215",-0.071616396,0.730691096,"delgbn24h",6830017,6830142,126,"+"
"SCO6216",0.050680013,0.820639698,"delgbn24h",6830158,6830580,423,"-"
"SCO6217",0.17421178,0.169457906,"delgbn24h",6830637,6831287,651,"-"
"SCO6218",0.046551709,0.836877004,"delgbn24h",6831346,6831945,600,"-"
"SCO6219",0.188530129,0.222771483,"delgbn24h",6832135,6835920,3786,"+"
"SCO6220",0.292932528,0.025158565,"delgbn24h",6836057,6842608,6552,"+"
"SCO6221",0.046639927,0.836877004,"delgbn24h",6842700,6843161,462,"+"
"SCO6222",0.15041333,0.333873825,"delgbn24h",6843172,6844380,1209,"-"
"SCO6223",0.100198648,0.610845349,"delgbn24h",6844468,6845118,651,"+"
"SCO6224",1.231532832,1.36e-14,"delgbn24h",6845172,6845987,816,"-"
"SCO6225",1.140350903,1.41e-17,"delgbn24h",6845987,6847252,1266,"-"
"SCO6226",0.069019584,0.744733646,"delgbn24h",6847315,6848841,1527,"-"
"SCO6227",0.010202254,0.974308918,"delgbn24h",6848969,6850522,1554,"+"
"SCO6228",0.176636649,0.342619647,"delgbn24h",6850590,6851204,615,"+"
"SCO6229",0.405893815,0.033388283,"delgbn24h",6851212,6852093,882,"-"
"SCO6230",0.098993572,0.567304016,"delgbn24h",6852090,6853064,975,"-"
"SCO6231",0.012537578,0.967420969,"delgbn24h",6853107,6854429,1323,"-"
"SCO6232",0.097068432,0.624329558,"delgbn24h",6854701,6857163,2463,"+"
"SCO6233",-0.047319837,0.828647934,"delgbn24h",6857160,6858188,1029,"+"
"SCO6234",0.012104596,0.968573947,"delgbn24h",6858440,6859594,1155,"+"
"SCO6235",0.263200819,0.085680526,"delgbn24h",6859658,6859903,246,"-"
"SCO6236",-0.016629808,0.956773654,"delgbn24h",6859900,6860775,876,"-"
"SCO6237",0.000151365,1,"delgbn24h",6860882,6861364,483,"+"
"SCO6238",-0.148832367,0.424164448,"delgbn24h",6861417,6862082,666,"+"
"SCO6239",0.09377547,0.638152518,"delgbn24h",6862307,6863275,969,"-"
"SCO6240",0.39889354,0.100330149,"delgbn24h",6863358,6864092,735,"-"
"SCO6241",0.012948453,1,"delgbn24h",6864326,6864658,333,"+"
"SCO6242",-0.247540818,0.157554449,"delgbn24h",6864755,6865669,915,"+"
"SCO6243",0.101176892,0.551857347,"delgbn24h",6865736,6867358,1623,"-"
"SCO6244",-0.3134901,0.123350618,"delgbn24h",6867543,6868166,624,"-"
"SCO6245",0.05608986,0.787341169,"delgbn24h",6868320,6868634,315,"+"
"SCO6246",-0.054628337,0.762241312,"delgbn24h",6868657,6869469,813,"-"
"SCO6247",0.852034488,2.23e-07,"delgbn24h",6869725,6871062,1338,"+"
"SCO6248",0.724158053,6.56e-05,"delgbn24h",6871127,6872257,1131,"+"
"SCO6249",0.111832845,0.409222615,"delgbn24h",6872329,6873105,777,"-"
"SCO6250",0.024402571,1,"delgbn24h",6873167,6873760,594,"+"
"SCO6251",0.018563646,1,"delgbn24h",6873849,6874406,558,"+"
"SCO6252",-0.012680928,1,"delgbn24h",6874704,6874904,201,"-"
"SCO6253",-0.147823941,0.415978432,"delgbn24h",6875083,6876336,1254,"+"
"SCO6254",0.047308383,0.833315081,"delgbn24h",6876381,6877070,690,"+"
"SCO6255",0.019852663,0.938332002,"delgbn24h",6877162,6878175,1014,"-"
"SCO6256",-0.09639271,0.605562229,"delgbn24h",6878304,6879041,738,"+"
"SCO6257",0.532928577,0.00539447,"delgbn24h",6879297,6880301,1005,"+"
"SCO6258",-0.115076901,0.5502768,"delgbn24h",6880298,6881338,1041,"+"
"SCO6259",-0.065587602,0.666989022,"delgbn24h",6881335,6882126,792,"+"
"SCO6260",-0.08165576,0.524468583,"delgbn24h",6882242,6883390,1149,"+"
"SCO6261",-0.046438983,0.809804779,"delgbn24h",6883459,6883968,510,"+"
"SCO6262",0.002408609,0.991516106,"delgbn24h",6884138,6887071,2934,"+"
"SCO6263",0.068836137,0.732350938,"delgbn24h",6887068,6889461,2394,"+"
"SCO6264",0.007376677,0.983021713,"delgbn24h",6889624,6890412,789,"+"
"SCO6265",-0.065439421,0.747293656,"delgbn24h",6890528,6891175,648,"-"
"SCO6266",0.008366178,0.97968325,"delgbn24h",6891293,6892237,945,"+"
"SCO6267",0.015830365,0.955832996,"delgbn24h",6892353,6893207,855,"+"
"SCO6268",0.058186155,0.761083182,"delgbn24h",6893258,6894022,765,"-"
"SCO6269",0.012446537,0.961314562,"delgbn24h",6894148,6895200,1053,"-"
"SCO6270",-0.043844597,0.780988461,"delgbn24h",6895193,6897085,1893,"-"
"SCO6271",-0.033402015,0.85623815,"delgbn24h",6897089,6898861,1773,"-"
"SCO6272",0.016864546,0.932706263,"delgbn24h",6899170,6900822,1653,"+"
"SCO6273",0.039602159,0.868331528,"delgbn24h",6900898,6907356,6459,"-"
"SCO6274",0.253550431,0.119260924,"delgbn24h",6907413,6918143,10731,"-"
"SCO6275",0.074647999,0.716932382,"delgbn24h",6918286,6931959,13674,"-"
"SCO6276",-0.032507145,1,"delgbn24h",6932285,6933607,1323,"+"
"SCO6277",-0.020068956,0.941641136,"delgbn24h",6933604,6934464,861,"+"
"SCO6278",-0.054453295,0.714741572,"delgbn24h",6934507,6936138,1632,"+"
"SCO6279",-0.010657678,0.961314562,"delgbn24h",6936149,6937705,1557,"+"
"SCO6280",0.034700975,0.89171653,"delgbn24h",6938012,6939643,1632,"+"
"SCO6281",0.014145958,0.939685773,"delgbn24h",6939907,6941544,1638,"+"
"SCO6282",-0.151364913,0.417550224,"delgbn24h",6941746,6942543,798,"-"
"SCO6283",-0.047850638,0.827451947,"delgbn24h",6942661,6943506,846,"+"
"SCO6284",-0.251503419,0.054722654,"delgbn24h",6943673,6945265,1593,"+"
"SCO6285",-0.147057347,0.419483838,"delgbn24h",6945280,6945543,264,"+"
"SCO6286",0.0004899,0.997895258,"delgbn24h",6945705,6946379,675,"-"
"SCO6287",-0.022522197,0.922972388,"delgbn24h",6946617,6947423,807,"+"
"SCO6288",-0.012218675,0.969741867,"delgbn24h",6947584,6948414,831,"+"
"SCO6289",-0.114482561,0.538821102,"delgbn24h",6948589,6949758,1170,"+"
"SCO6290",-0.007672473,1,"delgbn24h",6949755,6950009,255,"+"
"SCO6291",-0.127250803,0.500981643,"delgbn24h",6950002,6951537,1536,"+"
"SCO6292",-0.105237251,0.592837597,"delgbn24h",6951534,6952430,897,"+"
"SCO6293",-0.136436102,0.467482855,"delgbn24h",6952433,6953434,1002,"+"
"SCO6294",-0.036868669,0.86783302,"delgbn24h",6953679,6954470,792,"-"
"SCO6295",0.298813605,0.079660521,"delgbn24h",6954616,6956604,1989,"+"
"SCO6296",0.067783567,0.739327099,"delgbn24h",6956543,6957022,480,"-"
"SCO6297",-0.073617774,0.715668651,"delgbn24h",6957019,6957975,957,"-"
"SCO6298",-0.113155892,0.537916826,"delgbn24h",6957972,6958898,927,"-"
"SCO6299",-0.060779452,0.782758442,"delgbn24h",6958987,6959844,858,"-"
"SCO6300",0.004826007,0.988586329,"delgbn24h",6959963,6961810,1848,"-"
"SCO6302",-0.037966513,1,"delgbn24h",6962111,6962281,171,"+"
"SCO6303",-0.154951282,0.360647187,"delgbn24h",6962349,6963320,972,"-"
"SCO6304",-0.402126952,0.058893961,"delgbn24h",6963368,6964300,933,"-"
"SCO6305",-0.348032264,0.123350618,"delgbn24h",6964306,6965349,1044,"-"
"SCO6306",-0.208522342,0.275148753,"delgbn24h",6965355,6966485,1131,"-"
"SCO6307",-0.42023407,0.034633206,"delgbn24h",6966512,6967474,963,"-"
"SCO6308",-0.292014543,0.105653419,"delgbn24h",6967471,6968472,1002,"-"
"SCO6309",-0.052351813,0.812430652,"delgbn24h",6968600,6969571,972,"+"
"SCO6310",-0.068694453,0.637385963,"delgbn24h",6970033,6971376,1344,"+"
"SCO6311",0.067270102,0.758318142,"delgbn24h",6971557,6971979,423,"+"
"SCO6312",0.162005448,0.086808435,"delgbn24h",6972028,6972675,648,"-"
"SCO6313",0.010846394,0.96371018,"delgbn24h",6972975,6974066,1092,"-"
"SCO6318",0.004121345,0.990172914,"delgbn24h",6975868,6976440,573,"-"
"SCO6319",0.014833939,0.961432181,"delgbn24h",6976852,6977634,783,"+"
"SCO6320",-0.025838222,0.917235095,"delgbn24h",6977697,6979466,1770,"-"
"SCO6321",-0.014986795,0.95825615,"delgbn24h",6980436,6981524,1089,"+"
"SCO6323",0.008332353,0.980188185,"delgbn24h",6983231,6983887,657,"-"
"SCO6324",-0.329387336,0.101422391,"delgbn24h",6984273,6984983,711,"+"
